"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12"
"C1orf159","micro1","blue",0.108661876349447,0.115480842710345,0.0846205626094563,0.0535814568131304,0.119093277032424,0.0858884485573479,0.0159656531623247,0.0669448700435706,0.0548238962068849,0.0862642340220275,0.039044497861549,0.0221235620922484,0.106564654691717
"CCNL2","micro2","green",0.140653270829792,0.134150037781614,0.122423929744942,0.0796387303581773,0.139501001311436,0.120205071907451,0.00602570047319325,0.0905292697130031,0.0866640499918249,0.116354610484018,0.0512781341881613,0.0381022760369518,0.12043992014185
"GNB1","micro1","blue",0.34580683049037,0.363120898993048,0.26610614093724,0.136758362200799,0.366195019111391,0.26559000600738,0.0676869953545341,0.207426700356457,0.217753138940892,0.281339055059696,0.121651734893657,0.0580794791636369,0.328501417874218
"CFAP74","micro3","greenyellow",0.0594654432277898,0.0518127538436208,0.0791814454026861,0.128393864641649,0.0356075125832625,0.0813351268730962,0.00772948254974507,0.0952093619056847,0.0665804505483901,0.0541613259638365,0.0272645878576539,0.000740677438973501,0.0393947278643754
"PRKCZ","micro4","turquoise",0.09809189493447,0.091945730976657,0.067476428396116,0.035744902534126,0.122149261414895,0.0619497641328283,0.0364896968560062,0.0376127631668172,0.0657609734111814,0.0764302162732799,-0.00176324657584695,0.0102736517813406,0.0948681524569235
"TNFRSF25","micro5","red",0.0608097096187334,0.0601540606642477,0.0284294099178969,0.0413909851269264,0.0524032302563668,0.0600388793910097,0.0259352661344325,0.0289201490978385,0.0377435720053946,0.0212942835448951,0.0506212288002472,-0.00327108495217785,0.0299969159711904
"DNAJC11","micro1","blue",0.1610174982465,0.161127933455992,0.120087036935818,0.0626812670444167,0.172501353571126,0.113005631761393,0.0358291555300925,0.0912964749944098,0.0881226254097333,0.124476136998503,0.0623416143790338,0.029374501072444,0.152811438230701
"PER3","micro5","red",0.074324201758692,0.0858719580613082,0.0573420418996778,0.0683271363870654,0.0374275707315624,0.135854488607853,0.0298374579103744,0.0795753155133811,0.0837628401060004,0.047895383597029,0.0318522878465378,0.0175849029340212,0.0515881761541879
"PARK7","micro6","magenta",0.0797832366536538,0.0593837650887611,0.0492056794519884,0.0473211859600861,0.0672597711218312,0.0573854418817441,0.142613242946038,0.0432914067214238,0.0642705264165147,0.0591507185030274,0.0628481526020132,0.1119032421923,0.0627089842960903
"RERE","micro7","purple",0.408142547529304,0.336769978695886,0.41726515811306,0.339718818675048,0.342413743678251,0.385940672778412,0.0585604683095232,0.455926270689631,0.343909955953475,0.402770986076999,0.167860075361755,0.051457608061898,0.396591492376307
"SLC2A5","micro1","blue",0.259639856649436,0.33603161904657,0.173309884723269,0.140050555040717,0.26023888096064,0.229617174270568,0.029178373978789,0.138936174831723,0.14602080625407,0.163803559850784,0.194568579456912,0.0721609825855286,0.222617536058156
"CLSTN1","micro8","brown",0.141611123610112,0.121836216302703,0.119123214610936,0.0950363615837862,0.12251666419076,0.125512801188811,0.220819252174992,0.10942153290831,0.214784516933664,0.121589704344196,0.0534500799857371,0.0376810221641306,0.125442225673367
"PGD","micro1","blue",0.135980080085508,0.146111484527808,0.07967688663214,0.0512149077167286,0.134851163658586,0.103436879876673,0.0362717099630994,0.0640264612316618,0.0735899021335748,0.0958489114520075,0.0643160323638288,0.0339925361184343,0.120495008332998
"PEX14","micro4","turquoise",0.191869621992622,0.187643673626037,0.155698433445545,0.0757806539507447,0.207011084227902,0.153308625256595,0.0184111833879261,0.117204001009332,0.103919060998818,0.15583263716228,0.076485092334982,0.0203707451031823,0.180609408681985
"EXOSC10","micro4","turquoise",0.113083012500499,0.116488122741252,0.0875114038794352,0.0615991930448707,0.115669687960796,0.079309447715522,0.021157762748765,0.0711051319025523,0.0668895479387052,0.0759060007113764,0.0539404096146294,0.0329029735689891,0.0963403706248569
"MTOR","micro1","blue",0.202311571513444,0.198994832910211,0.171378775423217,0.0936494759021627,0.210538738231204,0.154615333585924,0.0237732202458614,0.128636883676963,0.10513397942055,0.156932907596462,0.0793291830636644,0.0440037913991215,0.184815153279936
"PLOD1","micro4","turquoise",0.115825815989575,0.109604232108449,0.086782810051893,0.0362286977686268,0.128052421935863,0.072424195019907,0.0219120916923584,0.0488337433721738,0.0618931392926875,0.0926119461208076,0.0503269467675118,0.0397729738683171,0.110548651489236
"TNFRSF1B","micro1","blue",0.310481210449733,0.340177300189745,0.185710469632912,0.161416269853859,0.299195884517354,0.264002737264975,0.0487152230380135,0.181538435181088,0.24820025784501,0.2383076533119,0.096814878937792,0.0584482124956308,0.291679950422022
"DHRS3","micro2","green",0.19953789218663,0.163557186860915,0.227575786241495,0.125821562795365,0.183243151387817,0.176870968726263,0.0196380934228688,0.187244583543642,0.13904906683141,0.206132021770968,0.0792482636767263,0.0289663727938491,0.201677478582734
"PDPN","micro4","turquoise",0.168251772065065,0.178990190402526,0.146250760698849,0.0327258676661886,0.206305322941121,0.0926855090166805,0.0431378484089264,0.0577799066291273,0.079574683429194,0.127793889435595,0.0999721389142811,0.0796948096563271,0.151742294997487
"KAZN","micro8","brown",0.0776443640918808,0.0757229797194372,0.0402406487706006,0.0406171157044935,0.0615063811906232,0.0771245744141453,0.0201247601647638,0.0730294592890972,0.144938758826062,0.0657232705138301,0.0285485681146463,-0.0043119357947217,0.0659481933762278
"TMEM51","micro9","black",0.241467585342507,0.225432367071809,0.194823632315129,0.123929038240551,0.241331648109101,0.203447058967826,0.00651205500797687,0.179731259407416,0.182550944137394,0.257516946467507,0.0534123847937241,0.00681731921729941,0.257038333366971
"DDI2","micro5","red",0.184336825582169,0.186049505755341,0.136230990137119,0.11219053443227,0.168752900582125,0.192555098968635,0.039098259476919,0.137874601335262,0.132924016414657,0.159423906680681,0.0668406071080814,0.0301907158616711,0.175013342740423
"ARHGEF10L","micro4","turquoise",0.216055482959998,0.199730384843841,0.181361251037827,0.0824328420144436,0.230808794862579,0.153057881588111,0.0270705410484338,0.132331605513888,0.126802965055666,0.184664402200881,0.0944210810381503,0.0410707849803779,0.20288282581337
"IGSF21","micro1","blue",0.339033704809285,0.339915117340179,0.286686132292104,0.271696120740933,0.322900963405592,0.309265452568334,0.0328910036566236,0.278813580893069,0.24019350905674,0.251853314517392,0.0955966901101655,0.00487775190843,0.296948312922995
"UBR4","micro1","blue",0.223888196510181,0.221027566861957,0.183295415195025,0.107237762404919,0.223885044871224,0.177619631223732,0.0261276947960306,0.150740383782261,0.152830347492141,0.183851604202241,0.0912203063148799,0.0420775566276112,0.203141958122679
"CAPZB","micro2","green",0.368941209060669,0.319649010049829,0.383809056696912,0.247452182938185,0.350285553936123,0.316796179110541,0.0862716077837974,0.302214856999549,0.255252318493333,0.328711229079171,0.181703532005476,0.085912971457372,0.326491027416112
"TMCO4","micro4","turquoise",0.178169601118431,0.16393267825604,0.142605129037767,0.0807921537362214,0.178353740873052,0.127088818302521,0.0123791292704323,0.119242710536047,0.11481508475354,0.157360769670791,0.0704351350990469,0.0275667295732746,0.166158811374012
"LINC01141","micro2","green",0.212074970530419,0.127882350731714,0.286806504691124,0.20139531153597,0.186212329491838,0.170899365662108,0.0183600358529587,0.23209185556829,0.1350193791095,0.199415242979731,0.113971781416796,0.0151350250505925,0.17967034406434
"CAMK2N1","micro6","magenta",0.0434619955433542,0.0254061152771689,0.0201121957509782,0.02039606355239,0.0431604315361246,0.0193254309383675,0.151175099472748,0.0235373550107098,0.0890989014353723,0.0455796295392697,0.0167587194730602,0.0255927649694259,0.0376235734333547
"PINK1","micro6","magenta",0.0655794178525534,0.0414403046251337,0.0560186912512528,0.040702686850728,0.0541021249962863,0.0525889804903479,0.109040504890053,0.0570872335229008,0.0927082767561895,0.0695720097077136,0.0267066357133696,0.013907419147365,0.0695353093300149
"HP1BP3","micro9","black",0.310299937781149,0.22672068667097,0.294929653425732,0.228792619147179,0.280100434912278,0.245957822647933,0.0824809812925254,0.272895967622099,0.249017242762209,0.345922745377118,0.170848768566506,0.0776221201266148,0.292853369083833
"EIF4G3","micro4","turquoise",0.473979112465838,0.473932824782433,0.398135165708335,0.218079371742714,0.516950550353328,0.364819659044811,0.0678582758440115,0.299891106805592,0.289239586578997,0.394850500133044,0.166698725217064,0.0603798822626991,0.455539501320841
"C1QA","micro10","yellow",0.232680612300446,0.175778180049875,0.0900668795180017,0.150868044949001,0.179245606271648,0.146894612608527,0.115317678098434,0.0583194696375626,0.0852805959078705,0.104534336983756,0.541154778749226,0.272359632257214,0.117506787207601
"C1QC","micro10","yellow",0.277073975975822,0.216356639588685,0.145960572393759,0.159212095802298,0.237216989934059,0.173348468568279,0.135611217875873,0.0908788537396814,0.123706818047715,0.160188202576834,0.53994285630728,0.266213817414038,0.169869177108706
"C1QB","micro10","yellow",0.268486419572763,0.214009409235554,0.107665823401542,0.152515611786667,0.207035598470757,0.16518713016742,0.140680142652086,0.0633419167058525,0.0957530512282313,0.123690396812348,0.638502839751469,0.320432826914654,0.131112226942877
"RPL11","micro11","tan",0.200259448846914,0.154521036393788,0.122956544361356,0.140112391775215,0.173741748346908,0.134294110485993,0.143311027944105,0.0873879671023479,0.107938893855822,0.130190346375397,0.24838947559479,0.563679759147425,0.148060178880312
"NIPAL3","micro2","green",0.128793789275962,0.100618959502265,0.138549816871974,0.0782643248770681,0.106498086563057,0.105508103316042,0.065130583643553,0.109537633392315,0.0974980385175271,0.127318663999761,0.079466101773322,0.0368967941154356,0.113408533594734
"CLIC4","micro1","blue",0.118856150236763,0.139923034404587,0.0636431108843591,0.0460680526935585,0.117687838455846,0.0934067661444756,0.0235686671301463,0.0468610295257068,0.0840587100240727,0.0832887250103254,0.059276540112507,0.0187351936934586,0.0965047452856118
"RSRP1","micro3","greenyellow",0.20007288480859,0.129046687356922,0.172056046269012,0.293445776671895,0.115331441134148,0.223023959578256,0.0425563745929542,0.20695612834887,0.166194931751016,0.154152326154421,0.241998822801635,0.0860907147481015,0.132033197202657
"MAN1C1","micro1","blue",0.22992297743937,0.237570194405728,0.182174936329455,0.128806264356324,0.234197652943132,0.200352417283417,0.0181476840053756,0.155790283867865,0.147045379805387,0.166993020312978,0.0803512958187117,0.0227238536718455,0.214609629087929
"STMN1","micro6","magenta",0.00850975861852234,-0.00395486588459677,0.00346535838833292,-0.00825592585332506,-0.00367413963401371,-0.00167585549434656,0.174197736303994,0.0179897317764541,0.0511583204757648,0.0118126635088419,-0.00068121535135211,0.0147009502123857,0.0032237672129643
"HMGN2","micro3","greenyellow",0.0811107374075558,0.0614075271833782,0.0440279017290856,0.10959940146586,0.0492342912128624,0.0789728694429276,0.0403321531418631,0.0629757169049415,0.0644650929165325,0.048216004914243,0.0990387710682842,0.0801048109454225,0.0473171608137632
"FGR","micro4","turquoise",0.177048103307866,0.191088739180462,0.102494540451786,0.0589554238708412,0.202844416946972,0.113918090917099,0.0436603825881447,0.0665411899483896,0.118570162791468,0.153971216268951,0.0568951588459586,0.0442860006593601,0.177894807251498
"THEMIS2","micro5","red",0.188654615338859,0.198530937478978,0.114591354813154,0.116182083978439,0.167812636899136,0.196310249464971,0.0377808648482329,0.11486278170711,0.142695092771207,0.152968575494293,0.0971122078339662,0.0631823148428301,0.175003232978368
"ATP5IF1","micro6","magenta",0.0593981625181912,0.0460223281802159,0.0315633214638359,0.0549324775587813,0.0382082719392206,0.0456634207659029,0.12421274210441,0.0356739183977734,0.0631906193116411,0.0396963780558469,0.0713360986944244,0.0950161148077355,0.0412095074784796
"RCC1","micro4","turquoise",0.164074381486113,0.177724933869535,0.0990047963061103,0.0433674344769347,0.206683486345875,0.109870271412803,0.017086657124117,0.0505615572135993,0.0482517786678814,0.0945479302792461,0.0905986095769706,0.0388350140968814,0.140879157400234
"EPB41","micro9","black",0.254953983517628,0.19636550481999,0.272101717198098,0.170723942767771,0.227034266580209,0.219163684988459,0.0448335319330067,0.272238637888128,0.222172371190963,0.315373734084023,0.0998131633473904,0.0270728646002533,0.26154558611525
"SRSF4","micro1","blue",0.227625213204111,0.224449896765106,0.178884849066751,0.139148160003289,0.223671809171038,0.200507021325484,0.0198767466955577,0.151605919403057,0.126535378548623,0.18090529442697,0.102136487380878,0.0485626483645815,0.202880632504027
"LAPTM5","micro10","yellow",0.327086351078772,0.277653236369008,0.249672615111564,0.191770126589896,0.30359691876982,0.228979220657818,0.0976322325848182,0.171818622777103,0.184302228003177,0.247754744258586,0.362314859865749,0.209336914431405,0.255278587664574
"PTP4A2","micro4","turquoise",0.159681634500837,0.160792374587982,0.110401334036406,0.0743650620012382,0.173406933526912,0.119562356922267,0.0146271285196872,0.0891126971946821,0.105294576218816,0.137151111884727,0.0319494059699465,0.00630469418552916,0.150122900574965
"MARCKSL1","micro5","red",0.0136107027982196,0.0266569987649242,0.00589632419234772,0.0191150394939403,-0.00594785858092202,0.0326556407347409,0.0111597708313866,0.00978935610835171,-0.00825328725431109,-0.00894306305242554,0.0179229527972671,0.005058485816805,-0.00343507141287727
"YARS","micro4","turquoise",0.141937516591911,0.161578332338689,0.0828705596317306,0.0348644930999598,0.178135323413782,0.0892669841532926,0.0122245548964631,0.0487180880061413,0.0575415394613592,0.0868418146791823,0.0569524340099801,0.0348774786342972,0.118613693395718
"S100PBP","micro8","brown",0.163170285281979,0.146384584115588,0.15035771176304,0.108824195034263,0.141457060666221,0.153404262990958,0.0306679946824301,0.147804347430931,0.144092773370306,0.153971426028277,0.0841706820699115,0.0158149006180605,0.146615387541282
"AK2","micro4","turquoise",0.175906593187721,0.164743348848925,0.131002676400311,0.083391626838519,0.196456249433603,0.134634476312575,0.0370183924658072,0.118445742275775,0.0986554350657898,0.138422632483522,0.0767892892510376,0.0521006324117765,0.160326008930764
"AZIN2","micro7","purple",0.0343578616444872,0.0135837706777958,0.0860784790284121,0.0473625275910747,-0.00806534038112718,0.0772314873150696,0.036279311574052,0.132502224199115,0.0457878423277928,0.0560630803079709,0.0120899785735345,0.000402519674372547,0.0271435327974346
"AL513327.1","micro10","yellow",0.152813396988518,0.159807483205581,0.0906504853642789,0.0937594565862827,0.123888874969326,0.127341576585733,0.037857758006613,0.0757575671292497,0.0693921934826246,0.0850845373883407,0.275342015260745,0.0618253450030063,0.0991395139682954
"PHC2","micro1","blue",0.399646077713456,0.429534703202417,0.337530366551486,0.228621785122306,0.4167921719191,0.333454084765354,0.0612401210643414,0.276801171554223,0.259803468438879,0.335592696773493,0.177216861232159,0.0800984955494024,0.380151181497798
"ZMYM4","micro4","turquoise",0.347446990630796,0.332686521794282,0.283112373227085,0.179483074069532,0.355389717767239,0.281283647272575,0.0697881702488967,0.236018830586156,0.234825739367135,0.298778800881479,0.164746878495472,0.108943522337352,0.336631499047169
"NCDN","micro6","magenta",0.0715273687764458,0.0475322970871117,0.0572613805649,0.0572086161967775,0.0579945203332046,0.0515720828618367,0.28786465370348,0.0496019396105098,0.143670371967046,0.0798600454912274,0.021630056279956,0.0311105947226713,0.0615150568919656
"AGO4","micro5","red",0.229604864140412,0.248433570356403,0.187827763142038,0.16157514663833,0.178652116328645,0.273488879838654,0.0120091129170305,0.182608687321712,0.176015659570603,0.175499135909905,0.129746831424542,0.0456806942016445,0.204935115650121
"AGO3","micro4","turquoise",0.295267293146409,0.280702294267741,0.248539750983509,0.140527909733361,0.312078430260797,0.223827036727655,0.0242648474208901,0.193225720848548,0.178823821205182,0.2520794181362,0.113581400787872,0.0556802714225399,0.279393132107216
"CSF3R","micro10","yellow",0.227968421729639,0.245476826024755,0.185511140903024,0.149043138286113,0.176596074442669,0.239325525299438,0.00778257692129859,0.183009915098721,0.132111238025322,0.163407990503779,0.208109607730787,0.0170011050384631,0.186855083289755
"CAP1","micro2","green",0.219667595980887,0.178097944223007,0.218247099116082,0.116520619422855,0.213368213196811,0.162710453223261,0.0625373694485882,0.157246745759707,0.138854360626857,0.198864233406837,0.129620026236976,0.0900065523048972,0.202202222440497
"SMAP2","micro3","greenyellow",0.341111645873147,0.262026664333262,0.350705184530341,0.45458141303971,0.248529435446314,0.348047200200751,0.068921243805772,0.377755015036279,0.34539551085461,0.342362484610901,0.166032455410224,0.0531147973026217,0.319274582365455
"CTPS1","micro4","turquoise",0.122696049431714,0.133410910890825,0.0762463799666667,0.0228594095055902,0.160291605483569,0.0675644971514225,0.0215008669313204,0.0265349075373861,0.037186487143622,0.0776857165740394,0.0606531849205088,0.0383040315202886,0.108217379509395
"HIVEP3","micro1","blue",0.372505141703487,0.443151077259092,0.313282705931661,0.141204426768699,0.418362958695396,0.290478303736007,0.000944136137941123,0.219847645401272,0.17597571731132,0.277890647022278,0.0928406645339186,0.0224858106276466,0.340368433232808
"ERI3","micro4","turquoise",0.22153249787333,0.20747322670728,0.193455701293649,0.126687391165087,0.240357226790447,0.176550879654773,0.0208287800010886,0.157185717113297,0.147104870244523,0.192411986100396,0.071750844094324,0.0189589312813127,0.212378002828471
"RNF220","micro9","black",0.0990721452388099,0.0835589249909456,0.0933922852158391,0.0505100917151334,0.0921987186951402,0.0730657268208149,0.036429651948675,0.0720570124304871,0.113168618288191,0.136695494714945,0.00193922071749273,0.00749261517396659,0.106458855672507
"RPS8","micro11","tan",0.162146778389449,0.101198679044192,0.104948501370467,0.110144563291826,0.131201581603557,0.102416425200938,0.145558142338009,0.084648085756387,0.104345288596148,0.12503405260269,0.190182280602588,0.541482659407752,0.110101233048411
"BTBD19","micro1","blue",0.120702700812682,0.154122052950903,0.0955591889999897,0.0446093630285518,0.119988387763824,0.105231950723843,-0.00133605614903407,0.086486684640276,0.0801968274235791,0.0952566583746504,0.0333400661527545,0.00463062966208479,0.109559787399602
"EIF2B3","micro4","turquoise",0.217580051414051,0.227216252042997,0.171656492866754,0.0757631301506033,0.263724922605513,0.150320369186742,0.00848368826350544,0.106615634566967,0.081964096045502,0.175752279061247,0.0769843268519429,0.0192225733624127,0.208217924195888
"PRDX1","micro6","magenta",0.0785654523460921,0.052293629797928,0.0525263605404353,0.0358868925868809,0.0684583824190456,0.0436711015947593,0.140056671575191,0.0387566408095015,0.06698087355794,0.0654338703943584,0.122554732298688,0.109265051693566,0.0603996788331825
"NASP","micro4","turquoise",0.181842096748977,0.176593520731938,0.131975950301775,0.0843421527183249,0.190611140423501,0.142905427019998,0.00786495655926362,0.100610898932206,0.0945234623537559,0.135399638570352,0.0796495572447341,0.0203361139899789,0.164999330529889
"MAST2","micro4","turquoise",0.199670282603947,0.189106913147952,0.157974649977131,0.0976602090944106,0.221364006017939,0.146158945760728,0.028731484493575,0.110199051492689,0.116776909315384,0.163475986066149,0.0717011580550477,0.040247083882341,0.177847224934562
"UQCRH","micro6","magenta",0.10626664831384,0.0849187878203763,0.0809258601782335,0.0632202663043436,0.093613911357002,0.072571416026539,0.152965680850255,0.0683829918613261,0.103836684620883,0.0877820200873264,0.0871766870984449,0.105517622619969,0.0859652390009857
"SPATA6","micro1","blue",0.362412459005974,0.447243105980824,0.277275646149113,0.14524865371385,0.399501144135952,0.296416198217473,0.0593841895345665,0.175237046308011,0.190076868423847,0.250447273516161,0.189509462575663,0.0607892502465147,0.324617610250124
"AGBL4","micro8","brown",0.0210725389032445,0.0234186371167467,-0.000374289861548272,0.0188755062445242,0.0179799341046068,0.0283452695652605,0.020128985118603,0.00743477697139909,0.0811947346211158,0.00397708387440261,-0.0152379727439374,0.0150124701065189,0.00543589690728048
"ELAVL4","micro2","green",0.0456929154957566,0.031476286982161,0.0812268476224635,0.0500684597882776,0.0423971328650947,0.056939183143513,0.104282300871549,0.0717235471324796,0.0628241243696028,0.0433491680211272,0.0292664106428249,-0.00834602923345409,0.0360496984671339
"FAF1","micro12","pink",0.393573335151567,0.365351931977081,0.327389229527314,0.196474546316221,0.405363407011082,0.32058495704613,0.046896128195948,0.268503166879546,0.254744496555532,0.348645534084739,0.111144726804248,0.0583740265661483,0.413200638599087
"LRP8","micro4","turquoise",0.164627919530826,0.178741345820759,0.138097872625285,0.0439522440238102,0.215004360634257,0.119211941780427,0.0163939157916491,0.0924012591231202,0.0806346303333569,0.127792548166754,0.0305128355221315,0.00894569055470595,0.167912065313727
"NDC1","micro4","turquoise",0.135148470243326,0.120194708289373,0.101064555982817,0.0608229338796208,0.148402075526174,0.100294812601755,0.0281224669279007,0.0750764017888884,0.0779860642370294,0.106303239587823,0.0380821456259135,0.0198377407138046,0.125269970638665
"YIPF1","micro1","blue",0.18178686743496,0.184831988105925,0.141687469255815,0.107102116370979,0.171525135185016,0.156213355424568,0.036038656502508,0.120562350133554,0.114702946243973,0.150516957952904,0.0816078526508626,0.0213056377104744,0.161148763213985
"TMEM59","micro6","magenta",0.158008170657347,0.121378875524396,0.122470235867746,0.113508976926023,0.130613600354215,0.121336025564105,0.114266708712723,0.109819083179153,0.12560384943924,0.15433676341691,0.1298073779173,0.0727615815202132,0.135796613826769
"ACOT11","micro12","pink",0.140729276372138,0.133756935952268,0.117420530637324,0.0436856072121074,0.134417219057693,0.13302671255496,0.00599788740246879,0.114762236246845,0.0946384348682784,0.153945023692936,0.0414537452832776,0.0130835832857935,0.180565002955008
"USP24","micro7","purple",0.315993272282363,0.259224041282691,0.313995155459736,0.251762126389448,0.268444373893971,0.301676531231632,0.0398811416530857,0.356096678454781,0.263499698549128,0.314145407228921,0.155094914729081,0.0425991225975747,0.308303077841788
"FGGY","micro5","red",0.193706860495344,0.163083145877086,0.167979293477074,0.175732344432801,0.145323519681001,0.234398505459549,0.0324695479134532,0.191072797405877,0.167110313468002,0.184320081437335,0.0837551987036274,0.0537323808079502,0.184191660982543
"NFIA","micro8","brown",0.291735187279963,0.258414528786334,0.249853582423069,0.210225728289097,0.268539207539802,0.268129775198958,0.0440091379195743,0.268231334549983,0.291211766894488,0.287113549499203,0.0741430769826224,0.0352894259915536,0.294229158800395
"ATG4C","micro7","purple",0.241428209172193,0.175416952316629,0.245889818526329,0.202006993085978,0.186933171141109,0.237420952410626,0.0196722575678428,0.286297044015362,0.212816895566412,0.268765314911516,0.111176119050824,0.0302260780292729,0.244403162160001
"WLS","micro3","greenyellow",0.0975009641124704,0.0627711692704492,0.0954950558816295,0.147807315924053,0.0788349756722761,0.107760500786808,0.0108915530166405,0.102622268116726,0.0766586154841609,0.0848275245701065,0.0689173800233706,0.0461965645285497,0.0784291686165683
"LRRC7","micro8","brown",0.0292590185781893,0.0353833919045627,-3.46971482665276e-05,0.0097266934965315,0.0355686841675922,0.0197562327012113,0.0288611750712137,0.0038434464158552,0.0778860758142355,0.0231084628424074,-0.0120320125674393,0.000926285348249014,0.0251928310608388
"SRSF11","micro8","brown",0.217035880089847,0.182239767310098,0.179821751056475,0.163290369648269,0.186220954008417,0.199187453126222,0.0613026689698028,0.174071126413433,0.191649697679074,0.173225236413366,0.142543642661422,0.0720054036469527,0.17932943599438
"NEGR1","micro8","brown",0.0254952064116893,0.0179203734581524,0.00658381176481933,0.0344154278546761,0.0208656019667385,0.018624236672734,0.0724138351981975,0.0107119723500496,0.123504863422824,0.024237347034888,-0.015133823981398,-0.010048982466405,0.0223512906190659
"RABGGTB","micro1","blue",0.143450801997606,0.142901831377567,0.0994699859378625,0.0593939571341934,0.14129957793384,0.106516112560849,0.035166120462939,0.071913531528384,0.0590102238299156,0.100037987050702,0.0935979295444597,0.078234176986904,0.116494117788937
"ST6GALNAC3","micro7","purple",0.217224490862211,0.151986350911802,0.369095671993079,0.230838939067454,0.171758390761835,0.231761531273878,0.0362592911791479,0.3950377233551,0.188011437352937,0.275972035621819,0.0845643052593342,-0.00902922975926231,0.216661297136551
"PIGK","micro4","turquoise",0.146935030357376,0.132262927783148,0.1302839628535,0.0670078328953154,0.151336035009927,0.123409790094479,0.0390737306251409,0.10447157381799,0.0830542054859184,0.120593624419426,0.0698077959243322,0.047354935463968,0.131262233606847
"AK5","micro8","brown",0.00900049193103418,-0.00342641170789835,-0.000464214052615961,-0.00345823265965069,0.013384310305613,0.00157647191458757,0.0952238910871088,0.00302090608525703,0.0798750667724181,0.0152754924548437,-0.0336779407821526,0.00531498573715658,0.00299050855266129
"AC118549.1","micro1","blue",0.267357309030704,0.267209095883358,0.221745121245956,0.129680265288149,0.267836896122862,0.22471654029739,0.026624424179001,0.18911053798194,0.171163008074714,0.242142463585821,0.11915890152725,0.0259871857776497,0.251381936086928
"ADGRL2","micro8","brown",0.0122664889150857,0.0167692555152435,-0.00574323640195111,0.0195585812379676,0.0123801843449432,0.0131035806646461,0.0427043561347254,0.00173846893378573,0.0981241642665419,0.00465906085419769,-0.0201684239430404,-0.0122110023786992,0.0138585908036403
"TTLL7","micro9","black",0.016516452119321,0.00820749253271488,0.020122568809047,0.00244823763419023,0.0233154755628864,0.0136635277525885,0.0432463835805127,0.0242008890784703,0.066400533738633,0.0396871466642941,-0.0503772893406876,0.00176662857289743,0.0384540546340082
"PRKACB","micro8","brown",0.214872847820055,0.181811249635501,0.157679070433815,0.165884151427487,0.185531480757104,0.194604657074403,0.11421903824138,0.158924922351434,0.232107526142205,0.189234447517246,0.103018847268915,0.0493234876840257,0.193308216115929
"GNG5","micro2","green",0.112385653239272,0.0825114140752707,0.0912983222747464,0.0648102652005313,0.101331139523383,0.086465736405567,0.0591647284726796,0.0709282267217984,0.0797009479803454,0.100222935887415,0.0998149924700947,0.12676765814178,0.0940025042582917
"SPATA1","micro10","yellow",0.113656221451081,0.0822034762740405,0.082426547753953,0.0909812426739094,0.0710452719700419,0.103663659491242,0.040987429664479,0.07912844505693,0.0676823299067646,0.0740233877744908,0.221035298200114,0.0354244102041657,0.0736407917542137
"ODF2L","micro1","blue",0.139095549922266,0.141139917621642,0.101929787863054,0.0966578372526517,0.14353003902397,0.129837113341812,0.0230596405695029,0.10135756942585,0.108192824411186,0.125420029722136,0.0419503167741231,0.0318445408482595,0.123283237698559
"LMO4","micro8","brown",0.135026332846619,0.102538044053091,0.111250141841577,0.0985292119836587,0.112629973528014,0.107952016319647,0.166415125246969,0.11368779985589,0.175473296892935,0.117970378583452,0.0798049041097645,0.0318911765087661,0.10563481174293
"PKN2","micro7","purple",0.368142894960466,0.296398690773699,0.351144765287973,0.294031092160354,0.294142072413967,0.345709295756187,0.0393334172500368,0.39643515928794,0.27753420357476,0.356849090019975,0.194403336984033,0.0522724377641894,0.339166170379765
