"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15","kME_micro16","kME_micro17","kME_micro18","kME_micro19","kME_micro20","kME_micro21","kME_micro22","kME_micro23","kME_micro24","kME_micro25","kME_micro26","kME_micro27"
"NOC2L","micro1","turquoise",0.0580451812066607,0.0936824579579038,0.0391508690079029,0.0672418799028416,0.0593871225143805,0.045079342113746,0.0499362199853288,0.0650081313375897,0.0522372442254858,0.0273534718274525,0.0563870275198674,0.0223843985183912,0.0819275760327607,0.0607778436969137,0.0338973706559229,0.0333466977003366,0.0622219929065724,0.0544289860146893,0.0612930315562048,0.0850097155693889,0.0527256197546194,0.0712837722077317,0.0602601085519992,0.0332517745913204,0.0440122752174494,0.042336930693853,0.00974168635599898,0.0322115565482846
"SSU72","micro1","turquoise",0.111721771163809,0.112599004706511,0.102413474622599,0.0657194019932427,0.0636592659348394,0.0575770295887204,0.102001394391756,0.0996620504608718,0.0894486408346345,0.0965137794942327,0.0753535267515975,0.0708548381343872,0.0979469936276375,0.0953932189758381,0.0826733387210192,0.0628035912965624,0.0932028010355715,0.0877672835133201,0.104862157116705,0.0926878195887253,0.102302277308277,0.0725148813028405,0.102576464937379,0.06218307074309,0.075146664642089,0.0716781650249549,0.0993922986255496,0.0651814333749021
"MIB2","micro2","yellow",0.0774556973058252,0.0407433010365175,0.0826110163413005,0.0321471501500342,0.0558066812237388,0.0143813047889645,0.0681333796699283,0.0718711588086218,0.0311484420427279,0.0627490118385597,0.0692986264455231,0.0255312403204488,0.0703509146825905,0.0289679514361424,0.0330001888627437,0.0330313410924304,0.0634616896960764,0.0152080417953663,0.0516680831570715,0.0607981839552354,0.0786062024604777,0.00383817312851388,0.019167841706975,0.0437114731168919,0.0456928827323949,0.0436085064954143,0.0461289079468005,0.0337836617561941
"CDK11A","micro3","darkred",0.10262242761548,0.11004657688694,0.0874011138680673,0.149158311639002,0.0871025051406129,0.0520668781006173,0.11852239966227,0.0830436327100529,0.0933310874041366,0.0942537167431144,0.083973461252161,0.095125953522579,0.0859301172950717,0.111352429770858,0.108921479651287,0.0722790272201583,0.0716308117229532,0.0905027679254283,0.0595552944315542,0.114002147282921,0.100074742247338,0.0897704668004585,0.0921149291335279,0.0746823805149346,0.070400882278726,0.0867128844783555,0.0357689829704448,0.0348311499960462
"SLC35E2A","micro4","lightcyan",0.0715647643452812,0.0528994097355714,0.0663494540376939,0.0348242028396996,0.081881335435596,0.0513489402404115,0.0412964567342964,0.0716423370769494,0.0365262514785168,0.0517205779184447,0.0562255329281942,0.0520551069971461,0.0639971267780044,0.028378662424594,0.0494026994543667,0.0406292922311313,0.01958797912828,0.0561531156643134,0.0250547163495215,0.0578087893254467,0.0495471885037552,0.0398844133265865,0.019541584315984,0.0571048340041759,0.0275897544655009,0.0527766343267582,0.00184400873279235,0.0336870554136318
"NADK","micro2","yellow",0.134183383187134,0.110971852071285,0.158918078779885,0.0581047963794305,0.0703892994936206,0.0709918462613097,0.110706029372759,0.127047672241842,0.103320311359203,0.106686972036543,0.107835610508491,0.0998369154296087,0.106837002082989,0.0744710688631578,0.063718873671011,0.0456163954643086,0.0810777444096064,0.0675323890550026,0.103363715652402,0.104139731616738,0.121554668861577,0.0427101590234541,0.0672082700787204,0.09708140919779,0.0775658123345568,0.120562306350253,0.0684362386681435,0.0273069636140175
"GNB1","micro1","turquoise",0.359326898232543,0.372051483930937,0.334318624023157,0.28509709538915,0.249258715109067,0.263211883718547,0.34252750640357,0.34389029691579,0.310235482559188,0.334060937216421,0.308619868077932,0.300824853669317,0.302631089268978,0.275384443708356,0.320962514127546,0.24980510134199,0.257172383440459,0.218181369874311,0.232976444338515,0.317570927976107,0.3303985803013,0.268421418237823,0.280005276391876,0.309620980367254,0.285349092361306,0.294156193845746,0.144048170762363,0.234233258427654
"PRKCZ","micro5","orange",0.0795187030741305,0.0836670680510782,0.0622302273992672,0.0763846671112569,0.0682583829150064,0.136661282361065,0.0513400366635052,0.0854089451850128,0.0709847468670103,0.0688464218721236,0.0737341207631978,0.0768804543090671,0.0932356381374837,0.0467098480483516,0.0939288366940041,0.0427113005928515,0.0553644050097912,0.0855290027466409,0.0230713674814342,0.0646220791089693,0.0518422358344754,0.0781797669964132,0.0511646798456232,0.0659530215675503,0.0696893898817575,0.0371615428305876,0.000719215325475874,0.0701665250555041
"SKI","micro6","blue",0.332156190419602,0.31922686282036,0.306938498634081,0.276144414977784,0.251876293870209,0.192088046548703,0.413258936255068,0.280372082616883,0.3076137099648,0.355098351250874,0.260908954965999,0.31739215015696,0.294861227353482,0.228392563423564,0.299772959302957,0.283572362780615,0.219709657577983,0.190400353020103,0.184016215679469,0.323231362540552,0.307253908057624,0.29320099850245,0.370294451716037,0.299092771151331,0.331959020819586,0.295375770393988,0.157908010982505,0.263174214752029
"RER1","micro1","turquoise",0.159032210114983,0.178645013429299,0.131279593611429,0.131675216410924,0.114508840686202,0.128450331612535,0.129153560658283,0.154795995588837,0.134507424125821,0.135651723208734,0.137231435562561,0.124383098330119,0.154272069492739,0.119905048510984,0.112917795081072,0.132254841075705,0.125322932134334,0.114308912205804,0.161388706876424,0.164015698036364,0.132853106065611,0.150958459710668,0.14658073541782,0.132851766322621,0.125251938311595,0.12308092927164,0.0826180775010744,0.12354133895734
"TNFRSF14","micro7","brown",0.0593325382091599,0.0570217825502765,0.070885923666141,0.00683936689792004,0.0439855960063718,0.0358559844362697,0.00788024779525892,0.0780466331531242,0.0262588885519491,0.03957021102776,0.0661379545388952,0.0247141435982378,0.0498019328347471,0.0392263665621677,0.0342235968839091,0.00495072979756836,0.0113854489510456,0.0626443826474643,0.0728638349420715,0.0238112436257782,0.0401798457371966,-0.00989838325040227,0.00364664113715333,0.0359517818580661,0.0170072384069689,0.0295447783931602,0.0640174591180397,0.00760032818559506
"PLEKHG5","micro5","orange",0.0533774267149814,0.0640375288304982,0.0493370212575929,0.0308668363142937,0.0411699331626535,0.0585729574511729,0.0410861101696255,0.0692095256263631,0.0510344829485695,0.0462817026079598,0.0687099300234653,0.0510941945662576,0.0591545446613895,0.0377720098484349,0.0558444643487193,0.0489353189156912,0.0584383086077468,0.0394978308556016,0.0465554928674259,0.0458389264254827,0.0526159333837369,0.0188083946563246,0.0200127913830544,0.0564011203835389,0.0253921887796222,0.0487396086092127,0.016944516914838,0.033263050249937
"DNAJC11","micro8","purple",0.199284960803021,0.205639588906126,0.159268162998009,0.163152492997497,0.1094321189279,0.158580416344811,0.153821308763306,0.179029536526974,0.227806515659871,0.170329537755236,0.179216265651488,0.163644240918097,0.173182534924842,0.135420532553551,0.19090130720386,0.105938484021353,0.148083070276085,0.142495463959643,0.142437504544782,0.177490649924361,0.169135516560088,0.145770846755933,0.15257958412672,0.170287602309223,0.148756332562899,0.13967209850823,0.0574251725050893,0.13734815584711
"CAMTA1","micro9","magenta",0.224479417967087,0.186369159316078,0.217194849910912,0.17279521722905,0.151259133412093,0.106921020941502,0.216182142927504,0.185827501923891,0.183330008889359,0.241492191319217,0.192128586851614,0.188297163180427,0.177234079443213,0.140385312536157,0.169284167342863,0.18679944255563,0.155728678031721,0.149387977475825,0.103450737860998,0.18525504670001,0.182187716434123,0.140524957592153,0.173809246292731,0.187642781041204,0.189535075166501,0.198808053577999,0.0916877036897807,0.15823022944283
"PER3","micro10","greenyellow",0.203221782646641,0.173046370801767,0.243600144206079,0.0384247618511983,0.127862868425522,0.0738009392070016,0.0830250763110132,0.258636295338309,0.111115817279082,0.126512414042883,0.268870814931281,0.127088745297128,0.132553748429587,0.106264886950306,0.114240712215711,0.0700036487399758,0.0635539060413625,0.125153959529979,0.174731511826696,0.104480695715743,0.167656884176808,-0.0211921198857176,0.0353384242535841,0.183122114141068,0.0230901994000459,0.0978232705578713,0.0983027682206233,-0.00297583536041288
"PARK7","micro1","turquoise",0.10101462444141,0.123189200780458,0.0620325299811755,0.111071480725676,0.0980397109891622,0.109948135708045,0.0875471031797992,0.0990221178771843,0.11241365463064,0.0721709125840803,0.0841115127635547,0.088272635175869,0.104767118081717,0.103726156302457,0.0894439540765064,0.0700292462432087,0.0786341407503164,0.131199506690247,0.0915570230730796,0.106358374813223,0.0856671583804746,0.123199293243027,0.0920195216193316,0.0697878450728369,0.0886122184033484,0.080354957987747,0.0247834295883273,0.0876764831290782
"RERE","micro11","salmon",0.477588023879375,0.441451479520003,0.456695759691687,0.327444280660549,0.311465688437976,0.286141516897217,0.425315221049463,0.472009328491584,0.42159951507572,0.435548150428731,0.463258982833613,0.501132013746119,0.413206969879958,0.33319647028386,0.410143965647372,0.342637022887465,0.299341550878199,0.31685723572732,0.282721531684828,0.404819931873052,0.406285208860135,0.296925544042177,0.370665631509424,0.441756057178597,0.338945073961232,0.360883083725924,0.185423384061785,0.271736425028638
"MIR34AHG","micro11","salmon",0.239759208239825,0.21098083933682,0.237715151356028,0.144689032151967,0.167055394256257,0.134127931476414,0.217033093022904,0.233161562941388,0.202368001885738,0.238452751328163,0.215597153655918,0.25913783219431,0.205151490846892,0.155254704628449,0.206641472297808,0.130767644062942,0.132693491081098,0.141976135450692,0.130644076130253,0.189973754614049,0.199388298728891,0.144325610293039,0.184620241723697,0.220490575547791,0.173757852153378,0.167747760415747,0.0887921160049843,0.136886704196442
"SLC25A33","micro1","turquoise",0.117546826629987,0.132416208127919,0.0961405269651173,0.103971207676619,0.0779370483917888,0.110200541780242,0.112127823250621,0.110747435300015,0.0879525611966321,0.108251899912063,0.0866674539448634,0.107496226115538,0.106262147637028,0.0890612288371871,0.102553583643754,0.0763734422100396,0.0592128224850596,0.0951457274088513,0.0775248630151112,0.120324397136199,0.0999932867813812,0.0918290091457669,0.0799248943563758,0.100285436979119,0.0952112474841846,0.0655326724039349,0.00376428806236075,0.10099460121928
