"","gene_name","module","color","kME_micro_state3_AD1","kME_micro_state3_AD2","kME_grey","kME_micro_state3_AD3","kME_micro_state3_AD4","kME_micro_state3_AD5","kME_micro_state3_AD6","kME_micro_state3_AD7","kME_micro_state3_AD8","kME_micro_state3_AD9","kME_micro_state3_AD10","kME_micro_state3_AD11","kME_micro_state3_AD12","kME_micro_state3_AD13","kME_micro_state3_AD14","kME_micro_state3_AD15","kME_micro_state3_AD16","kME_micro_state3_AD17","kME_micro_state3_AD18","kME_micro_state3_AD19","kME_micro_state3_AD20","kME_micro_state3_AD21"
"AL627309.1","AL627309.1","micro_state3_AD1","green",0.128811572391043,0.0819215951029683,0.0989793097345627,0.0796579030508004,0.0755742816061134,0.138816117610462,0.115937320532694,0.0906699954355505,0.0762157627647376,0.0870000250341261,0.100210459976121,0.137540299686,0.0971808848638126,0.108555577415255,0.0214051440280092,0.105273603416592,-0.00413889617603765,0.0919019565060824,0.0767910002624486,0.0643277129548643,0.047715410256846,0.055864765192732
"AL669831.5","AL669831.5","micro_state3_AD2","turquoise",0.129456206681909,0.146086331583172,0.153028717931562,0.139228745633645,0.0887222602689799,0.0715421027859196,0.140025317239904,0.105488889178929,0.0798299808611671,0.13038001647842,0.10984224223801,0.128863948370695,0.102733748869413,0.0423810845132197,0.122710368603844,0.0852861012988694,0.085630593473595,0.0345387022307691,0.10843072358477,0.140743441094136,0.096723432181152,0.0739768279054054
"SDF4","SDF4","micro_state3_AD2","turquoise",0.0658011692072063,0.113378098775288,0.147809524307795,0.0755691755182859,0.023721840653468,0.112478836821197,0.0687800223697909,0.0387145661448242,0.0676929376912557,0.0825770702311738,0.033257211926086,0.0741438536740177,0.0893163004478418,0.0231418105928299,0.0813964465726702,0.0598772769072002,0.0660420571484998,0.0617391764670542,0.0715357565919007,0.103561563386879,0.0222548953138547,0.0769872809766372
"UBE2J2","UBE2J2","micro_state3_AD2","turquoise",0.0536145607169127,0.0573097766477551,0.0942072279607389,0.0245475633251853,0.0628712052703852,0.0737076780910336,0.0410717607615825,0.0661694424356604,-0.00629150599679125,0.00817600738654605,0.0360754474929008,0.0369983001895276,0.0435721233122906,-0.0186308384779549,0.00716362352867075,0.0425774464744169,0.0385277656554345,0.021356290411452,0.0543643994931054,-0.0210971535298231,-0.038372878586914,0.022871772054982
"ACAP3","ACAP3","micro_state3_AD2","turquoise",0.0139794422521967,0.0633205098050565,0.0132160204601748,0.00338590850140024,-0.0424418876512856,0.0172309310351845,-0.00347594232376652,-0.00924320418916948,-0.0335470043172529,-0.012803315414028,-0.00373199221938439,-0.00589832179356077,0.0179450888797882,-0.0103779367140986,0.0561331731159131,3.82656941494035e-05,0.0236157536987772,0.0616365087207415,-0.0580482402163584,-0.0374051961841739,0.0215984061024641,-0.0465567927989586
"INTS11","INTS11","micro_state3_AD3","red",0.092824900345174,0.0628389584772477,0.0680050312246923,0.153693746725053,0.0720722035319751,0.0159235013331408,0.0679903751239163,0.152883972670556,0.0713410069208815,0.085545800874754,0.0341488108824919,0.055171281366037,0.081473304825883,0.0391143998138332,-0.023804881233911,0.118460432447941,0.00735888995805289,0.111303816798744,0.120732977932548,0.150447660232611,0.0492239979913312,0.0957781446880583
"AURKAIP1","AURKAIP1","micro_state3_AD2","turquoise",0.0201823726125115,0.0688256185722721,0.00294829162567803,0.00896663376654962,-0.00402929282683224,-9.87395161426446e-05,0.025702920904593,0.0726804242130889,0.00421187812448177,-0.00139793377077219,-0.0342410193665664,0.00288337001830469,0.0284787401202127,-0.0235052582736578,-0.00646699296948508,0.0227200655302052,0.000641533630917823,0.0537502894832613,0.0566273158599481,-0.0224932772872081,0.0567916094601044,0.0117597715599127
"CCNL2","CCNL2","micro_state3_AD2","turquoise",0.0598609324569527,0.0937139067463952,0.0582116520461712,0.0759867555179592,0.032219135596509,0.060969915886191,0.0375052130050435,0.113484771036899,0.0584395578377068,0.0156992081008268,-0.00335639350458248,0.114142223243358,0.0534856041235765,0.0952477237223223,0.117380495405821,0.137576733162728,0.0350803453220867,0.0416894188361819,0.0800118833972867,0.0751764259064934,0.0265168661202673,0.0304787045452373
"ATAD3B","ATAD3B","micro_state3_AD2","turquoise",0.089006387580751,0.0857248663140074,0.0594145803540623,0.0730005504794101,-0.00308287041092948,0.0661915891666044,0.0633442251099222,0.0155127492448634,0.036735720844087,0.0933526262837163,0.0617519913562526,0.104617227673561,0.0804625401984846,0.0778125698968541,0.0581810470830634,0.0411571763615564,0.0702010811171643,0.0306287180296775,0.0792741992518427,0.0382097444833912,0.0412454864103284,0.120119416762413
"SSU72","SSU72","micro_state3_AD2","turquoise",0.0400289053762579,0.141310459381549,0.111986661151457,0.0451954924719242,0.0528193813606921,0.0771009726163339,0.0881156439793256,0.0782665616613404,0.0593790835309594,0.116744497278612,0.11541662693905,0.0650790036859448,0.109436772156577,0.00174194798948922,0.0741157761557254,0.100067434663212,0.101666296888153,0.063233344115758,0.0756911735418185,0.0369021133185543,0.0444244051876407,0.0257243002142675
