"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"AL669831.5","AL669831.5","grey","grey",0.160228585376389,0.0785214316647337,0.0679413025703249,0.143238575011053,0.156152705828202,0.135715827345651,0.0880840939436653,0.149031283362477,0.0695263783550314,0.143265479346205,0.116282169476227
"NOC2L","NOC2L","grey","grey",0.0853721532870513,0.0719049142233714,0.0645276421517784,0.0674151032902803,0.0715362176085619,0.0590759729934904,0.0708415713262421,0.0762489311923842,0.0484126602905794,0.067222278802657,0.0487765136793108
"AGRN","AGRN","grey","grey",0.107947869285186,0.0572317642978695,0.0479554910087551,0.109976909416019,0.106887066119106,0.108476826079823,0.0655007797369455,0.0950358826404582,0.0343114774922864,0.10715698959711,0.100490555546635
"C1orf159","C1orf159","grey","grey",0.127307128301367,0.04813293395735,0.0394957829268838,0.113072868206865,0.124295175964886,0.125143778920683,0.0602267802883979,0.111752504327027,0.0578219302785237,0.116658345791458,0.100979027322036
"SDF4","SDF4","grey","grey",0.0980337098032774,0.106066717507374,0.100832715423302,0.085758174866664,0.0799249844440051,0.0783571724011004,0.0896349374472178,0.0808252263124817,0.0641141015041581,0.076228545131762,0.0623793552207274
"UBE2J2","UBE2J2","grey","grey",0.11640979292926,0.0861939194225218,0.0735012858719771,0.099831846152128,0.106918943031029,0.0952490461851638,0.0861751031939031,0.10546507813755,0.0561172341966481,0.101121466790434,0.0774960962670223
"ACAP3","ACAP3","grey","grey",0.163634677023525,0.097988338471838,0.0753532325250492,0.13551480049008,0.158602107344956,0.139702716388236,0.121792304782101,0.150648974439886,0.0470781997139994,0.146136515480246,0.108953361056354
"INTS11","INTS11","grey","grey",0.142956976247969,0.086887627286922,0.0700523776743806,0.118628113113099,0.129954584255331,0.12352517614976,0.0931187337402119,0.126527295770467,0.0629051978424534,0.119006625347554,0.100600229786601
"DVL1","DVL1","grey","grey",0.0898511721032901,0.0753035767888676,0.0622256081416349,0.0799391194182548,0.0798699280474529,0.0744801878221462,0.0842920071977491,0.0777025353076649,0.0442227801417631,0.0780765400928515,0.0636086003362149
"AURKAIP1","AURKAIP1","grey","grey",0.0618087152110235,0.125117710816183,0.114973220866642,0.0401379020791584,0.0359519476362652,0.0338352460755681,0.0854527069053871,0.0390857733228767,0.0540430990601715,0.034676675152216,0.0226077241043802
"CCNL2","CCNL2","grey","grey",0.183135626270823,0.0931075919012425,0.0827659780982088,0.162312001144223,0.175238945161436,0.17421527665148,0.102284550224381,0.159983456970325,0.0868077460016937,0.164211475823417,0.145564442681053
"MRPL20","MRPL20","grey","grey",0.0793175945620082,0.101638843988468,0.0940026114169615,0.0590637788220715,0.0578308533439819,0.0615031899832549,0.0756768507552608,0.0541152183809922,0.0706904526572124,0.0541286373459934,0.0469639252471382
"ANKRD65","ANKRD65","grey","grey",0.0831334081810639,0.107373771590046,0.0963144264142104,0.0631465131919582,0.0679547588497844,0.060099595551187,0.0893613328945769,0.0652097049256846,0.0536997614943453,0.0604264222488153,0.0382564459529481
"VWA1","VWA1","oligo1","turquoise",0.128196515161798,0.202507432110434,0.164253707599554,0.0847159715467254,0.104104411700425,0.078816429078873,0.147235873034061,0.113187181361138,0.0775316362948758,0.0936887256739238,0.0444484733572393
"ATAD3B","ATAD3B","grey","grey",0.0804729797411406,0.03693254791146,0.0340648817876227,0.0732206392542272,0.0763599697389293,0.0779197186652329,0.0459548865772395,0.0706391220932504,0.041220433139339,0.0766654286698369,0.0653857851805894
"SSU72","SSU72","grey","grey",0.0938727553284733,0.109039561933463,0.095044059405583,0.0792210611204605,0.0743370608616316,0.0665447999816205,0.0939958552636505,0.0789637142299992,0.0657310928559456,0.0748000498804365,0.0569010674571592
