"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"AL669831.5","AL669831.5","oligo1","turquoise",0.166840481779549,0.167970124904479,0.0984439795412584,0.0312846573239852,0.0813110366928808,0.11750245404795,0.0938203379113162,0.0800979745832684,0.0710683777597754
"NOC2L","NOC2L","grey","grey",0.0758625351491794,0.0896055012801676,0.0843031444577896,0.0614466303521471,0.057218251131413,0.0737107983902989,0.0467236857867553,0.0477713087528712,0.0412587408756513
"AGRN","AGRN","grey","grey",0.103799568167246,0.103886348063869,0.0966450872297988,0.0542895700537005,0.0329440396554781,0.0733403654556437,0.0688062569799677,0.0611240221497574,0.0593412026406389
"C1orf159","C1orf159","grey","grey",0.0966090829522897,0.113641655099913,0.0490083870620821,0.0200123321650403,0.0531634381779992,0.0942286457419107,0.0641685822598841,0.0644145299317425,0.063334249367502
"SDF4","SDF4","oligo2","brown",0.101437237718931,0.11547304172669,0.154132720453941,0.105465699433271,0.0608575995655034,0.0855769633930061,0.0491272985677972,0.0485981564428895,0.0366082591986654
"UBE2J2","UBE2J2","grey","grey",0.104332757504036,0.131304752767191,0.0880902518134878,0.0569105978431002,0.0759811343955365,0.111489171522932,0.064869577504518,0.0615024371903672,0.0541285345037083
"ACAP3","ACAP3","grey","grey",0.12981879183811,0.141250309908737,0.100288066235608,0.0476682804473536,0.0326218004547054,0.10713997508646,0.110293720755172,0.0994648439373387,0.100437498139049
"INTS11","INTS11","grey","grey",0.102814499288299,0.118687116105183,0.100887787820342,0.0715620885711475,0.0569430898016874,0.0909349397758215,0.0698252845402317,0.0619692488011487,0.058740086203385
"DVL1","DVL1","oligo2","brown",0.0683435474007335,0.0754721830841292,0.0966551587389085,0.0736388391766733,0.0573360061300302,0.0688201573280885,0.0411774161743772,0.0417118492389422,0.0225334564866086
"CCNL2","CCNL2","grey","grey",0.155274560650507,0.174385350469008,0.14805664240373,0.0926311889846971,0.0838853834949567,0.14169629858647,0.0910287386224694,0.0888348536281997,0.0726873078049593
"MRPL20","MRPL20","grey","grey",0.0742056115879554,0.0940709859187279,0.0949131277516301,0.0743055337759141,0.0515481942740513,0.0753073227366618,0.0347087439285303,0.0396723957962964,0.0296400454415792
"ANKRD65","ANKRD65","oligo3","yellow",0.0542107869618073,0.0623390741722444,0.106518914045337,0.10765994135048,0.00239457655217483,0.0484870381075514,0.036418225130555,0.034161106426614,0.037734138679139
"VWA1","VWA1","oligo3","yellow",0.0937953807918952,0.108817542366252,0.229626233718635,0.219091725783167,0.00521871961189443,0.0741614270800103,0.060669920262039,0.0481117470874106,0.0798636232172415
"ATAD3C","ATAD3C","grey","grey",0.114548621325813,0.102977535381539,0.058227041274831,0.013481604917565,0.0528512478202737,0.0682145244883217,0.0671458341569643,0.0545838817593233,0.0446924704764085
"ATAD3B","ATAD3B","grey","grey",0.0741156687798164,0.0934856711336893,0.0451745804774305,0.0270459337598111,0.0528412365696209,0.074876694113929,0.0450991646489574,0.0536997013995732,0.0374149185315314
"SSU72","SSU72","grey","grey",0.0676674588406868,0.0935619000653701,0.114782137108304,0.0935466934037567,0.0614492739422593,0.0801341647282467,0.0320421457224536,0.0360590466352399,0.018281556555608
"MIB2","MIB2","grey","grey",0.0773677751534567,0.0913296641454617,0.0857956674818726,0.0533678721445306,0.0377162383211438,0.0695413491078379,0.0487332782769512,0.0465112221570572,0.0422673178056711
"CDK11B","CDK11B","grey","grey",0.115149394799214,0.156176863639693,0.090778552559274,0.0434448569309041,0.101268655751459,0.128876717715111,0.0527572437876932,0.0569516652127106,0.0389318948576228
"SLC35E2B","SLC35E2B","grey","grey",0.135621751201991,0.151783039525673,0.119275763644543,0.0771725307697169,0.0586248803926069,0.117853681994352,0.090074851748386,0.0785371262391465,0.0689826986694629
"CDK11A","CDK11A","grey","grey",0.10925336651374,0.137238051598025,0.0898581360791276,0.0410670073053892,0.0741045382291692,0.104008293682139,0.0501421826221742,0.0443058450689269,0.0380621463218733
"SLC35E2A","SLC35E2A","oligo1","turquoise",0.12761773383924,0.125392375895751,0.0826133247962046,0.0366580026404317,0.0452084296504362,0.0840546675502942,0.0870700408107836,0.0752727388926813,0.0584912149168245
"NADK","NADK","grey","grey",0.0913411818626272,0.0969133698653125,0.0746699936850561,0.0499797637347062,0.0577497910343317,0.0777442178366236,0.0544200693354194,0.0535640015718803,0.0338137447135549
"GNB1","GNB1","oligo4","black",0.273762410993575,0.302555428476152,0.208312232949862,0.135792874242883,0.26163286096391,0.264781975119232,0.157771853638669,0.16474197881568,0.0647512389163693
"PRKCZ","PRKCZ","grey","grey",0.209451316956578,0.227453644861627,0.142117859698725,0.0858467793883397,0.109965500435905,0.191205598017484,0.144692545335724,0.144125155732049,0.0975453900056462
"SKI","SKI","grey","grey",0.139707749841873,0.165864954638086,0.0913840052357626,0.0516461458998811,0.084905943340016,0.13762494545671,0.0898114390650399,0.0961800653267088,0.076318554611611
"RER1","RER1","oligo2","brown",0.124616596074068,0.138455352856868,0.169505988727507,0.113936607902123,0.071146387268188,0.0955302795974775,0.0614008255113417,0.0523925244995873,0.0339260660776283
"PLCH2","PLCH2","oligo1","turquoise",0.199018676412534,0.172946570046949,0.121761045918215,0.0586483737853023,0.09484699703771,0.11782967695971,0.0910231372239037,0.0831400786347453,0.00729674303920312
"CEP104","CEP104","grey","grey",0.144868750208044,0.153596677610227,0.102767841708841,0.0612193789550293,0.0645141008709237,0.117598588956923,0.0946750919389949,0.0855675987616104,0.0675891844004494
"DFFB","DFFB","grey","grey",0.119691874316522,0.121546203727252,0.0660731655199514,0.0371425262145418,0.0508080724545853,0.0961398815517895,0.0927041517004215,0.0793931275440414,0.0635596306237028
"AJAP1","AJAP1","oligo1","turquoise",0.177990330205623,0.166194953744833,0.108229839648377,0.0411638567094877,0.0644509557276885,0.107398491758422,0.107403059024094,0.0898596373997591,0.0745663960439963
"NPHP4","NPHP4","grey","grey",0.0737461751026525,0.092296881530523,0.0479163436990943,0.0312331132244299,0.044138761919473,0.0816066810949753,0.0566212925439951,0.0558971442570488,0.0490639753656095
"ACOT7","ACOT7","grey","grey",0.0828941689541928,0.106349994869036,0.0657357447526289,0.046437648371304,0.0756540160713547,0.0979478818203586,0.0547685946101674,0.0574326434090573,0.0338425639830698
"NOL9","NOL9","grey","grey",0.100808457329868,0.117284518275189,0.0819817400606068,0.049094899033858,0.0504437217032941,0.0910065247271269,0.069255725384456,0.0641004065414029,0.0519739169855521
"KLHL21","KLHL21","oligo2","brown",0.14604405089569,0.166376864104183,0.165933084636313,0.117324233294915,0.118708584562164,0.135970171767112,0.0776912313773397,0.0775520027527242,0.0364226186888407
"DNAJC11","DNAJC11","grey","grey",0.113065617487748,0.131863670051571,0.0804567250842395,0.0515529263775756,0.0578377313502176,0.102765224742525,0.0731614643727602,0.0691969170251187,0.0631517066461396
"CAMTA1","CAMTA1","oligo5","blue",0.285688431973127,0.332100512791686,0.18161193800261,0.108498097064456,0.196989791538154,0.295479102272103,0.190369764951218,0.194244837541556,0.144692170417422
"VAMP3","VAMP3","oligo2","brown",0.149008649061154,0.150088186891912,0.194674375275408,0.12912281501479,0.073584628737096,0.100155173669882,0.0752326701799268,0.0627248938319752,0.0397033865997334
"PER3","PER3","oligo1","turquoise",0.27947164287974,0.264008763416195,0.189922435644059,0.097800287235625,0.151708144290518,0.19072829455564,0.140069106652243,0.132116149967844,0.0473583674649494
"PARK7","PARK7","oligo3","yellow",0.0783348733064724,0.0877733914243432,0.149930893307413,0.146384872290446,0.0617967494434778,0.0696346293711007,0.0334857265916573,0.0310718213527985,-0.000397798825428136
"ERRFI1","ERRFI1","oligo5","blue",0.117805320475005,0.141874821182727,0.105768438451407,0.0828538961456558,0.0926969076567517,0.137991211888223,0.08799246208679,0.102091629068661,0.0462162547881123
"RERE","RERE","grey","grey",0.442435822178715,0.453947479190127,0.245818272101189,0.122981901265004,0.214224841564665,0.370666881910973,0.321154716687092,0.290057897562486,0.252222961219436
"ENO1","ENO1","oligo5","blue",0.038643188075002,0.0844098349560093,0.131661209049008,0.12833161693556,0.101726742303766,0.105263073256674,0.0142922694376207,0.0361444740825661,0.0102298078489897
"H6PD","H6PD","grey","grey",0.128011965233178,0.132101549676073,0.0881456572602282,0.0554640720596441,0.0493147183344276,0.0974118869460631,0.0920075062377643,0.0868326481720585,0.0681233677819213
"SPSB1","SPSB1","grey","grey",0.152493698689849,0.196484491986153,0.10333629302237,0.0565432203768874,0.129032103110679,0.173830291664885,0.100260924412931,0.104241583786262,0.0778249152135448
"SLC25A33","SLC25A33","oligo5","blue",0.054997838446035,0.0972141518984711,0.067991315072872,0.0598339141824003,0.10567706607805,0.121717197273496,0.0262314655821711,0.0457413211438127,0.00874808306907259
"CLSTN1","CLSTN1","grey","grey",0.145945833689795,0.154984328854887,0.145953296300481,0.114438159783372,0.0706933863075994,0.125210668771556,0.105290581841207,0.100158056975483,0.0699724020726853
"CTNNBIP1","CTNNBIP1","grey","grey",0.127255948294909,0.122804428798323,0.0931817603927214,0.0473141195057597,0.0494715331993728,0.0847050481597379,0.0766154827116672,0.0687824999085352,0.0436201592134933
"LZIC","LZIC","grey","grey",0.123799916156278,0.134466298415986,0.123540243559738,0.0829941982590451,0.0613804703431426,0.1039846393536,0.0779108855914575,0.0766674150014619,0.0589368278404288
"NMNAT1","NMNAT1","grey","grey",0.081137185501577,0.0854316280199333,0.0566157498334388,0.0394429910536029,0.0341709696943575,0.0708515584808152,0.0596093214081253,0.0613601095580688,0.0422149408775589
"UBE4B","UBE4B","oligo5","blue",0.322948072085359,0.349004077842248,0.169543924231141,0.0998947173678479,0.200447096760849,0.330041637002392,0.242723954504902,0.244606842217956,0.166318595812105
"KIF1B","KIF1B","oligo5","blue",0.43790041091004,0.467881743979501,0.321249640458213,0.213355325114256,0.228350977313684,0.401849958808775,0.326864170927846,0.308838787113718,0.251519208047521
"DFFA","DFFA","grey","grey",0.112898038670945,0.123894007102168,0.0918030524639114,0.0456235032151572,0.0444540034511293,0.0867141373396483,0.0722311365210266,0.0621891758032629,0.0627856695483582
"PEX14","PEX14","grey","grey",0.116932368115627,0.141700794679385,0.0744875989529067,0.0477301485231308,0.0982889272644817,0.126893040282033,0.0878057230494813,0.0868435216182685,0.0604504099904522
"EXOSC10","EXOSC10","grey","grey",0.104377608393047,0.116962397507584,0.0803722738651036,0.0389091659100528,0.0479066258169849,0.0895727709203667,0.0700542831806141,0.0672570371580406,0.0529869429891717
"MTOR","MTOR","grey","grey",0.159586877356343,0.180571093038503,0.104359273494051,0.0516980877747935,0.0891862307342396,0.146274043508938,0.111375386225857,0.103699828493104,0.0808124726629645
"UBIAD1","UBIAD1","grey","grey",0.0723513113791159,0.0840848521888495,0.0743160818154156,0.0599633777479532,0.0317156768840339,0.0696045334010077,0.0592243751345384,0.0522855959933614,0.0371895848373904
"FBXO2","FBXO2","oligo5","blue",0.0611699458141543,0.0624825115701013,0.146535109611169,0.159028352361675,0.0418093449068305,0.057434204100809,0.0639028682949828,0.0723986342860595,0.001951186444129
"FBXO44","FBXO44","oligo2","brown",0.0741934947320653,0.0787436235293679,0.104438693693726,0.0755512552064525,0.0279904582373641,0.0599684353329048,0.0536526102583884,0.0528905932688874,0.0314434760227862
"MTHFR","MTHFR","grey","grey",0.0924961254329261,0.107206293153457,0.0571729320583514,0.0415653354903067,0.0637163977960488,0.0974141480122701,0.0722848877889764,0.0690031603105755,0.0435967038088469
"CLCN6","CLCN6","oligo5","blue",0.0846535166886868,0.102733466987852,0.0700812218391098,0.0523719644293424,0.0758087514038582,0.103532392648793,0.0619007342672863,0.0622235720409835,0.034378086529937
"KIAA2013","KIAA2013","oligo2","brown",0.082290600353937,0.0883521093162859,0.140241043897481,0.115863694713768,0.0326428755993927,0.0622232720084044,0.0457605476590968,0.0414835015959993,0.0287764344825569
"PLOD1","PLOD1","grey","grey",0.0956456376436357,0.100615740907941,0.0678525115250168,0.0277850083377215,0.0404442153688704,0.0643803904432049,0.0613361860617362,0.0476464306630763,0.0481443928886628
"MFN2","MFN2","grey","grey",0.0721370655624953,0.091636098551733,0.0794621889994206,0.0573654597934862,0.0565332456376053,0.0742606930869043,0.0475675255398764,0.0456627917879413,0.0354029373542805
"VPS13D","VPS13D","oligo5","blue",0.232072586619595,0.256950849704738,0.150504517303383,0.0940886564140998,0.130912590990931,0.222847532402052,0.166703017238418,0.156625479114017,0.120436180041742
"PRDM2","PRDM2","grey","grey",0.212356534100075,0.257928921032758,0.169700233201707,0.109535622433058,0.175269256380891,0.227759458438587,0.12049885596468,0.132145186953199,0.079771282132572
"KAZN","KAZN","oligo5","blue",0.127008915397508,0.196307348739487,0.0804365122237988,0.0664891609477326,-0.000484915071416215,0.196861565071147,0.160181317228296,0.167596333846867,0.238981495397159
"DNAJC16","DNAJC16","grey","grey",0.132966560100173,0.135447445054745,0.107067527293488,0.0702541852398248,0.0650110342383459,0.100646146608999,0.0860173070598841,0.0741134670168097,0.0589487112725863
"DDI2","DDI2","grey","grey",0.190031534878804,0.185654138954757,0.125522615228874,0.0675655745296918,0.105222505433754,0.136092632150806,0.115080564767298,0.102533468906188,0.0376772139109827
"PLEKHM2","PLEKHM2","grey","grey",0.145162446618132,0.160043144536675,0.124138924912443,0.0742350336868995,0.0991012508732582,0.118024413453583,0.077735378723611,0.070155102981441,0.0373552535014795
"AL450998.2","AL450998.2","grey","grey",0.114223046378136,0.122160947808389,0.133335436407691,0.0842736293386325,0.0388222492547643,0.0828251586613864,0.0647215957016604,0.0549876281913377,0.042775622036443
