"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"AL669831.5","AL669831.5","grey","grey",0.138067530484558,0.124196836297402,0.0762469924933887,0.134031051979456,0.0943855390222334,0.125339097361119,0.114548015659823,0.11441650919922,0.0242504843583085
"NOC2L","NOC2L","grey","grey",0.0748063509981027,0.0660840075058498,0.0974812310697162,0.0556957911266649,0.0361308311786169,0.056029629685266,0.0393098098741851,0.0595897166565147,0.0121779736360261
"AGRN","AGRN","grey","grey",0.0905525620303443,0.0867528046543656,0.0538226817903876,0.0948534362887674,0.0788671844177731,0.0722123089651428,0.0838211208472938,0.0680370584033693,-4.32745664640728e-05
"C1orf159","C1orf159","grey","grey",0.0999127212556375,0.10204668388675,0.046295047154592,0.0943514990750984,0.0811268136056035,0.0969149949131561,0.0879650707896204,0.088393482324197,0.0178275147598447
"SDF4","SDF4","grey","grey",0.100214173786542,0.0806357201886608,0.11265427660403,0.087948386940326,0.0638778728659015,0.0775733645289341,0.0804808190205202,0.0719856890740681,0.0268274831695857
"UBE2J2","UBE2J2","grey","grey",0.101891126621415,0.0889970181352384,0.0766329235409425,0.0954002744462797,0.0714528869937998,0.0826398123858199,0.0788226994986249,0.077087386056687,0.0175851284328902
"ACAP3","ACAP3","oligo1","brown",0.091301929218449,0.121958122865856,0.0431123841139143,0.0775641667672353,0.0953579916232237,0.0796482543261537,0.0739117510178234,0.0869088331789966,0.0157317996401488
"INTS11","INTS11","oligo1","brown",0.114589560094341,0.122083953708749,0.0831725921102157,0.101342475327869,0.0920164119777999,0.0973083129713402,0.0810954377681891,0.0902964713856493,0.00639459477499481
"DVL1","DVL1","grey","grey",0.0786082410153537,0.0707987232513766,0.0841953881532246,0.0700965440914468,0.0601148440094098,0.0574025895390821,0.0635510320619986,0.0513704746048625,0.00560559436775143
"CCNL2","CCNL2","oligo1","brown",0.154192391359089,0.163922410048057,0.102741299210995,0.140275310960888,0.118687160997545,0.130826523836406,0.126444361522609,0.121664166132453,0.031461260561237
"MRPL20","MRPL20","grey","grey",0.0676273133477911,0.0625571092013807,0.0779882745282802,0.0487224110667617,0.0438736216797043,0.0427080021094566,0.0426625994685884,0.0474293822561521,0.0254186663501896
"ANKRD65","ANKRD65","grey","grey",0.080300245677619,0.075178392071678,0.106702786561057,0.061543021267961,0.0552379396770753,0.0584517512032456,0.0594626705576184,0.0658433023845773,0.00932771473005643
"VWA1","VWA1","oligo2","blue",0.165352673077652,0.150845186388132,0.27841776717967,0.113381713882375,0.0906448471906512,0.131778956936056,0.106803822805978,0.146223621841511,0.015447664474468
"ATAD3C","ATAD3C","oligo1","brown",0.0478281741573945,0.0570132417842355,0.00839185034502471,0.0525276538554613,0.04642660563545,0.0490163395278112,0.045465689690552,0.039472061079155,0.0129880067081828
"ATAD3B","ATAD3B","grey","grey",0.070555543078743,0.0671450804619175,0.0341218026491988,0.0711987351450344,0.058390631192133,0.0641925250716842,0.0565850672634532,0.0488732907957307,0.0204000271668434
"SSU72","SSU72","grey","grey",0.075017075860823,0.0619109675294261,0.0788034099181657,0.0696133556517085,0.0512582401827533,0.057152018172356,0.0537550701903387,0.0496396697533211,0.0107883990323344
"MIB2","MIB2","grey","grey",0.0759332946336903,0.0673153084082025,0.0659200169525643,0.0698539683596137,0.0568773981513256,0.0553038014086302,0.0581546755183312,0.052039708193088,0.0170767558280258
"CDK11B","CDK11B","oligo3","turquoise",0.108881393636438,0.0923665428520872,0.0554893432264315,0.119305696559265,0.0819738260868183,0.0842834615405457,0.0814069728179926,0.0667334816571123,0.00464959468921323
"SLC35E2B","SLC35E2B","oligo3","turquoise",0.129684641795274,0.107094066202262,0.0938122994125129,0.133444796562155,0.0890915176624646,0.102548197375202,0.0894205630014691,0.0764015567196129,0.0193032679078922
"CDK11A","CDK11A","oligo3","turquoise",0.0863839793210006,0.0708263817388379,0.0416199219596418,0.102667094459315,0.0668004091184614,0.0564965653176164,0.0694780705181819,0.0399580229836679,0.00661078928327256
"SLC35E2A","SLC35E2A","oligo4","pink",0.0894287852592578,0.0915610420340488,0.0435688972082119,0.098398314290531,0.116924668027156,0.0694408432222423,0.0744192888476093,0.0493415317872764,0.0213832774125869
"GNB1","GNB1","grey","grey",0.264404525315069,0.252201388385234,0.180016578496722,0.272762713591995,0.220301058142041,0.212328962934155,0.237900904861609,0.18423822243163,0.0482430870640436
"PRKCZ","PRKCZ","oligo3","turquoise",0.186131289886763,0.173651465153276,0.108623344221817,0.217990538501305,0.166414823112385,0.144242976087039,0.192360040339711,0.115648624725448,0.0255893785066823
"SKI","SKI","grey","grey",0.113798384356052,0.102024837625049,0.0838515191207189,0.110932472604103,0.0826341134343595,0.0957627595094241,0.0708445701650082,0.0819005068845862,0.0221512734742694
"RER1","RER1","grey","grey",0.115124844158826,0.0937623221821637,0.14655761890917,0.0891795617068491,0.065126330766239,0.0862387900719335,0.0755745147993577,0.0822205857886954,0.0210161881492594
"PLCH2","PLCH2","oligo3","turquoise",0.150745637282844,0.134227521249219,0.0997046586092441,0.180144327829214,0.14450966035705,0.101785288590399,0.195214386071321,0.0696333323920307,0.0183548881437044
"CEP104","CEP104","grey","grey",0.161689442119534,0.15297159847108,0.110635338190938,0.156554741128777,0.121048338610316,0.134937822745871,0.147291312523462,0.12499644659527,0.0363741405899745
"DFFB","DFFB","grey","grey",0.118287278787354,0.10635436738224,0.0741369183077291,0.120485091622596,0.0905292532210941,0.0942838398529683,0.101790882056711,0.0836512353771646,0.0200223808993093
"AJAP1","AJAP1","oligo1","brown",0.119488482943983,0.121277329602776,0.0684070870292329,0.109337196414084,0.0857213972964543,0.11476726245771,0.0789201392611553,0.0976690242197297,0.0292096592982172
"NPHP4","NPHP4","grey","grey",0.0984881330870282,0.084849138192708,0.0510443839616207,0.102964366660622,0.0770395349141591,0.0805409471921152,0.080144287269994,0.0656356897522389,0.0294026184324931
"ACOT7","ACOT7","grey","grey",0.0806348921903664,0.0848477854959963,0.0589493186111909,0.084490859663657,0.0823341480557968,0.0565278849933982,0.0964812882266195,0.0503842388735917,0.0319419698002147
"NOL9","NOL9","oligo1","brown",0.095877886929954,0.105033072907015,0.0560408351966002,0.083030604425788,0.0824300437904909,0.0864929737279277,0.0702859458496604,0.0786912912404073,0.0206316971263725
"KLHL21","KLHL21","grey","grey",0.118418563720282,0.0994242562902741,0.113423906030163,0.118479099357723,0.0845611150361402,0.0778974656587421,0.0860610182616031,0.0568682203000558,0.0193158493429769
"DNAJC11","DNAJC11","grey","grey",0.1124772883223,0.108094302102778,0.0700641489899695,0.106381784864347,0.0906342027128368,0.0922551471266168,0.0946405787358971,0.0830417119064547,0.0265368904611003
"CAMTA1","CAMTA1","oligo3","turquoise",0.310373229608384,0.291158558078859,0.161757289018857,0.323360973249676,0.248465059073174,0.273864967806211,0.263980776008089,0.235171772226801,0.0671209402867716
"VAMP3","VAMP3","grey","grey",0.129359495155067,0.107977869134008,0.166583475092936,0.104950569266623,0.0745782689802578,0.097595388989302,0.0851804282416394,0.0950884984383159,0.0228667788990582
"PER3","PER3","grey","grey",0.217230223065513,0.201773055983166,0.154243354587615,0.215798032196137,0.17235895862814,0.17889172173385,0.205222845218169,0.151583253082296,0.0290026308040516
"PARK7","PARK7","oligo2","blue",0.0689243411962133,0.0524799534354075,0.117886270250815,0.0561279287128048,0.0422625013765904,0.0377599412416271,0.0441842936373103,0.0334464508333084,0.0228135691211356
"ERRFI1","ERRFI1","grey","grey",0.122967498198987,0.0996293843320033,0.0966438606175297,0.122590138065964,0.0837217029154936,0.101691907849144,0.0936687676139843,0.0938097968410578,0.0121221805570573
"RERE","RERE","grey","grey",0.44326230616053,0.433746383260532,0.240432139433703,0.430994945411329,0.352159022558711,0.419354413680055,0.389265766012896,0.388966974837869,0.0820823418881735
"ENO1","ENO1","oligo2","blue",0.0722232619334531,0.0536556740694155,0.134259360639107,0.0536574427295,0.0361853737886736,0.0473320834380304,0.0389269218526474,0.0505052477216331,0.0459171511933045
"H6PD","H6PD","grey","grey",0.120417758782489,0.119478126226898,0.0805211912297124,0.111186822394346,0.0945722088484773,0.102268912284951,0.0876765645953081,0.0939001168701371,0.0195717036101238
"SPSB1","SPSB1","grey","grey",0.140981887178092,0.135623842457839,0.0779548178302768,0.137570945754223,0.112358844927154,0.137540004557952,0.109979363249115,0.136913699135081,0.0286560806723075
"SLC25A33","SLC25A33","grey","grey",0.0772101384146623,0.0720124038091885,0.0497171503016116,0.0740371102618559,0.0585801323632833,0.0564495278121376,0.0672949878580072,0.0426643093795647,0.0108746969794358
