"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10","kME_oligo11","kME_oligo12","kME_oligo13"
"AL669831.5","AL669831.5","grey","grey",0.137813226404201,0.110646857060716,0.0442506471608559,0.133070545235223,0.102718713120077,0.128289910458755,0.128398284874456,0.1196717977086,0.0594581546817612,0.121872306807932,0.0934594930030943,0.0534958864403772,0.015411488358263,0.111682271345368
"NOC2L","NOC2L","grey","grey",0.0918176745435463,0.0463176381321101,0.0984770590116113,0.0876889106708657,0.0616821194268014,0.0711821486556011,0.0506007516402276,0.0649403914661999,0.0732526582019905,0.0576690477417697,0.0965227535761139,0.0867480322532254,0.00642037580463077,0.0436953458541611
"AGRN","AGRN","grey","grey",0.0983627813258045,0.0620128634997054,0.0458043440255352,0.0759910959145883,0.0875860139592255,0.102046722237672,0.0978012015973732,0.105859040026089,0.0688803173956469,0.108123765429282,0.055110766569539,0.0675805735141817,0.0197440261528655,0.0736597689318113
"C1orf159","C1orf159","grey","grey",0.0911389883705121,0.0823719695825527,0.0103818608657597,0.0840658867961399,0.0661225379030421,0.0971430355391402,0.103745469918019,0.0929847604610211,0.043701727494391,0.0945824588441105,0.0586984621903454,0.0200046167246937,0.0117419764983739,0.0839541384895962
"SDF4","SDF4","grey","grey",0.0948651450054917,0.0593735311026068,0.12440732263285,0.0745261959512699,0.0554293759568087,0.0491116706965858,0.0512100156837217,0.0781466141026179,0.102748218890318,0.0619297334088221,0.0849221608016089,0.109780824104386,0.00691294949187119,0.0452322292253121
"UBE2J2","UBE2J2","grey","grey",0.11951880487417,0.102872312782814,0.0684061955823933,0.117829126843918,0.0731129004616817,0.114181108056587,0.11257218983554,0.10565881754926,0.0742741741677366,0.0981164145269358,0.0778460453844029,0.0557026792841957,0.00581151971807743,0.0902370278652985
"ACAP3","ACAP3","oligo1","yellow",0.121627500366179,0.136824907730048,0.0561335346141293,0.142614374151931,0.0558627364493776,0.147894899336919,0.144562966302813,0.147876230693755,0.109609865419489,0.117974122790044,0.0280434450570525,0.0521460298690618,0.0356061991779583,0.0976571546708804
"INTS11","INTS11","grey","grey",0.130619871395455,0.103606707895763,0.0851840590427674,0.128277111080765,0.0869891746589023,0.120957176985791,0.117044462218214,0.111712172042241,0.0960355605866156,0.105176613686493,0.090386578622634,0.0810318130132724,0.0140327677474849,0.0985772826517623
"DVL1","DVL1","grey","grey",0.067524705418269,0.0281661390431865,0.0830536610941192,0.0730819756932881,0.0541762233258841,0.0540207664047597,0.038989666262923,0.062839118072394,0.0652573157475745,0.0494331606094053,0.0443937961751316,0.0899228868059349,0.0145632171350817,0.0273210593742365
"AURKAIP1","AURKAIP1","oligo2","brown",0.0673071813413209,0.00817164988686566,0.171802774919765,0.0590183146332118,0.0469725514613999,0.0172696426331614,-0.00369487026817943,0.0377745000131083,0.0961226535901532,0.0193073476459103,0.0802100211613497,0.139657923398509,0.0276669384888084,0.00111478032311687
"CCNL2","CCNL2","grey","grey",0.180946192644371,0.138911431952127,0.108051702057936,0.142179151566893,0.126485947319166,0.141058405742334,0.161052604207911,0.163515629950822,0.131211214803706,0.157872833143828,0.149392593846251,0.102345150280976,0.0348721452682478,0.141110929914252
"MRPL20","MRPL20","oligo2","brown",0.0673909252505203,0.0493631872650263,0.141174252673346,0.0636721111512295,0.0174411898346471,0.0335734137340078,0.0266280365923406,0.0446980168725272,0.0951220854728362,0.0191806108938027,0.0615222379336375,0.0721304401680459,0.0110395069560767,0.0266064526169084
"ANKRD65","ANKRD65","grey","grey",0.070153258185955,0.0417617381160199,0.10849122242744,0.0425112961582447,0.0429306968688419,0.0326831928979286,0.046317734018502,0.0664980601576739,0.0922493423331952,0.0502130709614856,0.0749206181576097,0.0944943543836366,0.0101477788042341,0.0328883080980458
"VWA1","VWA1","grey","grey",0.148217659831701,0.127868330252959,0.223152672338323,0.117126873731515,0.0492005830287528,0.0801246172489287,0.119958203529549,0.147306185238076,0.219013916381406,0.104071290769854,0.149425323217307,0.180616987606175,0.000703669774829406,0.0930565997473762
"ATAD3C","ATAD3C","oligo3","blue",0.104071380563349,0.074322952102337,0.0206883199429648,0.174132400138228,0.0863930679742106,0.159587990564316,0.107576886981362,0.0767526142437911,0.0269535140917971,0.0853898854362166,0.0105658079065376,0.0259258429561379,-0.00409969813520408,0.0719683026784199
"ATAD3B","ATAD3B","grey","grey",0.0769905683838841,0.0536987567317231,0.0230178345609069,0.0763178291777918,0.0586352222489941,0.0832683100072562,0.0749113437409911,0.0736978672342015,0.036167991517565,0.0736692916762207,0.0420852631798849,0.0289299681078191,0.000112652516368008,0.049380170614089
"SSU72","SSU72","grey","grey",0.104612527946469,0.0606916872847877,0.147045247927693,0.0971461043185172,0.0657920506189752,0.0613581156318022,0.0515458318956543,0.0794174876303785,0.111657695518803,0.0621993218333167,0.0829094232559592,0.128412447524869,0.0211114777979406,0.042719015759687
"MIB2","MIB2","grey","grey",0.0700551755761189,0.0461792723903499,0.0603501350195149,0.0638761368070927,0.0465427798898785,0.0623424239636433,0.0569638921100013,0.0676609486567316,0.0601370989671692,0.0618086953988403,0.0507122586272,0.0586713100251125,0.0124537756297941,0.0363127415817314
"CDK11B","CDK11B","grey","grey",0.127916966578651,0.101690487366421,0.0737889542499911,0.117905954315884,0.0748924355798202,0.114044939335952,0.113698424124205,0.114975028887772,0.0832646938058352,0.100575226693458,0.0878178226686834,0.0578051868329487,-0.00827977561714513,0.082684488684715
"SLC35E2B","SLC35E2B","grey","grey",0.136573993641452,0.0969326609605683,0.0725679630908276,0.124996193567428,0.100257160938233,0.116899809940308,0.108115468013828,0.105814050391515,0.0816460361786574,0.114749694918935,0.124713590506926,0.0782264361855783,0.00999881495367055,0.0884516104777347
"CDK11A","CDK11A","grey","grey",0.092081902853335,0.0783196033736985,0.0456384909407201,0.0943500955157686,0.0478374188275502,0.0922563827545676,0.0894784723597835,0.0756827628861007,0.059081898497898,0.0734794936509028,0.0592336489159137,0.0331223213955264,-0.00282840120071199,0.0723230887089318
