"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"AL669831.5","AL669831.5","oligo1","blue",0.160440083652519,0.155913056202373,0.130934815472057,0.0803754271719498,0.121088953270741,0.129994772831706,0.140363498662357,0.146523424976424,0.11684402578492,0.0707481732539315,0.0143238143004197
"NOC2L","NOC2L","grey","grey",0.0791174311017921,0.0974053156977861,0.0810004367682944,0.115914753077687,0.0940657449945891,0.0875792429785446,0.0682740616431929,0.0597032089534583,0.0648928809894432,0.0574113748828338,0.0288524064564505
"AGRN","AGRN","oligo2","green",0.0781903343807453,0.0869708040040868,0.108040435797395,0.0496407622068186,0.0552825189639858,0.0640279863641867,0.101821897560307,0.087369464835026,0.073720693251319,0.0498399128456122,3.36676570513514e-05
"C1orf159","C1orf159","grey","grey",0.0916508719116179,0.105125477171821,0.103010319733512,0.0366168416653112,0.0447381889400845,0.0745338658494854,0.106106449626658,0.100953854874901,0.0779246453011826,0.0394199981103739,0.0017839995835297
"SDF4","SDF4","oligo3","turquoise",0.0898165772985038,0.0985156927221976,0.0858442938441691,0.110896724113837,0.100735413300507,0.0877985398043275,0.0727603749667464,0.0734307145588376,0.0768333265255321,0.0580620472183527,0.0197160597745083
"UBE2J2","UBE2J2","grey","grey",0.13034569191425,0.133924617858536,0.117181028650574,0.08759624789629,0.112498093551282,0.11394192151962,0.121628836559071,0.124397024302033,0.0956043105966912,0.0705595778535061,0.0220209982463514
"ACAP3","ACAP3","oligo2","green",0.085628867374819,0.0938217026653944,0.119024408009349,0.035647447710679,0.0557594862835875,0.0785257898966006,0.109370361208953,0.0894865784910863,0.0882484369628237,0.065544878975642,0.0252302852554448
"INTS11","INTS11","oligo2","green",0.114531805105898,0.127933776345202,0.139928012616932,0.104930309678496,0.101513199133388,0.109290079819103,0.115349963989026,0.107891493070763,0.11578410129209,0.0821290274827808,0.029936293960757
"DVL1","DVL1","grey","grey",0.0785811047198147,0.0868657707279548,0.0757416839697532,0.0781300743777415,0.0893470012367466,0.0754035029401938,0.065905487020985,0.0726974391287241,0.0605702278933213,0.053934013148728,0.0107818731360366
"AURKAIP1","AURKAIP1","oligo3","turquoise",0.0509647660950933,0.0778081974674431,0.0545271406186492,0.171845776654175,0.112124732045865,0.0886114921610442,0.0199921979150153,0.00688576896698067,0.0623563017888499,0.0806979342625542,0.0184798501055417
"CCNL2","CCNL2","oligo2","green",0.165688651346855,0.196901450216381,0.212288330442135,0.154541617013139,0.159649776099151,0.162861718209903,0.168713925777316,0.148922151340198,0.157986484690533,0.136208948559942,0.0111250034596461
"MRPL20","MRPL20","oligo3","turquoise",0.0638504224383914,0.0937203470392796,0.0939649049986061,0.143057295364376,0.101285659096444,0.0810972229312051,0.0599944610731943,0.0450622300918149,0.0741165857910071,0.0727224290498556,0.0210221032069433
"ANKRD65","ANKRD65","oligo3","turquoise",0.0826037819368018,0.105531983445444,0.103201786849245,0.150222946002483,0.10546907025219,0.0945127157181396,0.0804526227351297,0.0655236067738387,0.0832358828010443,0.0758250786546192,0.00368132703637716
"VWA1","VWA1","oligo3","turquoise",0.081769938241203,0.120317520331059,0.125912578603573,0.219748738009903,0.150627534930129,0.0817599056505402,0.087953347385522,0.0863122456602858,0.0777468289963415,0.042867194427266,0.00544262944878134
"ATAD3C","ATAD3C","oligo1","blue",0.088116077017842,0.0698757691825339,0.0634180798505558,-0.000454772300201732,0.0542703309741776,0.071211734498604,0.079079135025359,0.0796697766776757,0.0668494083876874,0.0449158212593389,0.0137561235493221
"ATAD3B","ATAD3B","grey","grey",0.0830298699983274,0.0858870215302026,0.091210365871828,0.045995971446307,0.0582683436454146,0.0696883950909246,0.0863797458952555,0.0809551473437523,0.072601663002211,0.0491733790356302,-0.00509289644855427
"SSU72","SSU72","oligo3","turquoise",0.107243685379839,0.129657316045885,0.106326453422015,0.171219095385491,0.149108720685099,0.116306121821885,0.0823248875333532,0.0816836708454402,0.0963446388348328,0.087962315802587,0.031257284774692
"MIB2","MIB2","oligo2","green",0.0707253446856846,0.0788851268307585,0.0928090392924185,0.0622063462317384,0.0671529147070557,0.0757682505195629,0.0704611963167884,0.0573029446292899,0.0735271528581304,0.0686630212827883,0.0126700959049342
"CDK11B","CDK11B","grey","grey",0.150067811891436,0.149114187350749,0.135260738313057,0.0823899376615902,0.119179971491177,0.131570818437282,0.134859303277007,0.136493066970757,0.114510080335305,0.08282929787202,0.025546861730467
"SLC35E2B","SLC35E2B","grey","grey",0.156566110923788,0.165801446442021,0.143278947694811,0.12681314174816,0.150606805900678,0.139710018291926,0.139848752066275,0.144105298013993,0.120180810241339,0.0920727518008933,0.0114403337199924
"CDK11A","CDK11A","grey","grey",0.111213545915732,0.123465193739036,0.102443318932754,0.095196456275989,0.100069258644856,0.105526879006891,0.100394302749448,0.0939675442246643,0.0935906860320741,0.0773405502285238,0.0122045995755478
"SLC35E2A","SLC35E2A","grey","grey",0.128704942554255,0.135396111778396,0.120717082417032,0.0923632737062394,0.110761937105278,0.117135999784247,0.117794380598299,0.117604687155919,0.104315678879427,0.0815081029464235,0.0457156076243374
"NADK","NADK","grey","grey",0.10499502134287,0.107010839005091,0.0906201368424353,0.0886506461741242,0.0912252841537631,0.103721136001844,0.0824585726914473,0.0768178275093096,0.0885572200946153,0.0847510493135953,0.0300371301175346
"GNB1","GNB1","oligo1","blue",0.358480290888419,0.355020903911446,0.304011725379829,0.223631392003278,0.277196912438151,0.346552996695767,0.297308707865051,0.283295155270904,0.307887739651976,0.266294794830748,0.0516561584796305
"PRKCZ","PRKCZ","grey","grey",0.254211068068145,0.255589503915342,0.235450331657923,0.132958720646311,0.187221064117792,0.228121587268643,0.240947152850634,0.232165458487775,0.220858199125608,0.163118257735953,0.0312804934571826
"FAAP20","FAAP20","oligo3","turquoise",0.0726792867514085,0.0723625957892073,0.0605537041664946,0.0850132111160554,0.0797505146735891,0.07637993126091,0.0573002100401787,0.0541153970803528,0.0594034716865565,0.0559914230672812,-0.00293295408724861
"SKI","SKI","oligo1","blue",0.180574723625185,0.163359387032894,0.135599775356364,0.0711191028301372,0.126426873147155,0.142827278895501,0.148360831515546,0.15857876307068,0.121238290305264,0.0888866422344844,0.0213315623246294
"RER1","RER1","oligo3","turquoise",0.111159497023098,0.135120699815875,0.115860711033131,0.189060021020873,0.154903739145507,0.117033114563321,0.0983600474067447,0.0914603020829238,0.10732483672641,0.0904805084396225,0.0104988172262425
"PLCH2","PLCH2","oligo2","green",0.159639005708322,0.194416191901406,0.230399535390322,0.146628527977872,0.136052117823381,0.18415761960843,0.177943083858421,0.134604047255914,0.212532551395916,0.178885608586142,0.0030722111589075
"WRAP73","WRAP73","grey","grey",0.0605920148585426,0.069628151148617,0.0687121828805791,0.0731083995958727,0.0733859206515883,0.0572014579950596,0.0605014766305657,0.0569425310338511,0.055787981207683,0.0371872749636898,0.0114909881248439
"LRRC47","LRRC47","grey","grey",0.0808477367345327,0.0882484469712451,0.0731336617463048,0.0879620621219909,0.0860774435288055,0.0747908649340831,0.0681309150179033,0.0691651891777969,0.0632961094702618,0.0456145757053509,0.022666430563236
"CEP104","CEP104","grey","grey",0.189231394146501,0.201668494498659,0.191597228077521,0.130791478556499,0.154556045806237,0.171199268252034,0.18445419489082,0.173947568375068,0.170873864721077,0.114099110453081,0.0253982899381681
"DFFB","DFFB","grey","grey",0.155379363213291,0.143546157402148,0.121407269775642,0.0787848516001628,0.122829592810903,0.124546461279038,0.136349780634224,0.144184167964161,0.108232122381095,0.0693006685624277,0.0143434680860243
"AJAP1","AJAP1","oligo1","blue",0.175195145476049,0.153811976824475,0.119308743363807,0.0710377663134441,0.127483313932606,0.134592380263984,0.150544825824517,0.158347514065183,0.104872139465668,0.0643753029504919,0.0317269654303411
"NPHP4","NPHP4","grey","grey",0.10675763983238,0.119971661615167,0.109339289623333,0.0731179304212851,0.0818764840605336,0.102994072218634,0.0989486030734066,0.0929147272718282,0.0896883225597401,0.087280180049019,0.00978631492109925
"RPL22","RPL22","oligo3","turquoise",0.0665293508577046,0.0808967510325729,0.0673966319431949,0.102182321511442,0.0845203075760457,0.0791721362314911,0.0529187939723003,0.0452046379673145,0.0711910024788941,0.0569801738014661,0.0288205041435567
"ACOT7","ACOT7","grey","grey",0.123655320860003,0.139157835522291,0.141143409546818,0.0822940242064904,0.0842302564783854,0.135758331619374,0.127915172570504,0.105902617743828,0.144138648107261,0.11486159020038,0.0339168320635059
"NOL9","NOL9","grey","grey",0.133847260669449,0.148491904532766,0.145162207227019,0.0839503078871748,0.101381911883361,0.116295144539626,0.14081486905711,0.131581477202207,0.119184346612611,0.0902958209979825,0.0115120203279448
"KLHL21","KLHL21","oligo4","red",0.157475359218625,0.149520611926916,0.106097474938592,0.124865146329111,0.185016656794913,0.143142209585019,0.108420704537161,0.122858020004719,0.100522300515916,0.0823488517259063,0.0410728476355009
"DNAJC11","DNAJC11","grey","grey",0.147957442909701,0.158749497607391,0.144922559143193,0.0930983626661645,0.111162757698037,0.127379469847028,0.147800748302668,0.142007256720235,0.125586883319096,0.089163700683654,0.0357348985687813
"CAMTA1","CAMTA1","grey","grey",0.446502241548082,0.435121470260445,0.378487004726257,0.210073183921383,0.314349053983764,0.40358862282183,0.404106020877399,0.391750180083769,0.371407774244538,0.285282911996693,0.0707017693775566
"VAMP3","VAMP3","oligo3","turquoise",0.141675193333647,0.164106541670369,0.126387201922682,0.224733041076257,0.19103397162525,0.163249159742755,0.0982400794619254,0.095108068004093,0.125619872789259,0.125441819662616,0.0321630540630494
"PER3","PER3","oligo5","brown",0.332873374454244,0.3307072782655,0.27730475550537,0.221402983889094,0.277364112791529,0.333075544249119,0.273162236967113,0.255731158159286,0.276180504469942,0.238975096766358,0.0474943037923752
"PARK7","PARK7","oligo3","turquoise",0.0664940082941283,0.109536825684483,0.0962676719693258,0.228966399638284,0.142799536498715,0.115284714773453,0.0440597845795179,0.0271660376531359,0.0890161264343087,0.112686420898316,0.0241179296043517
"ERRFI1","ERRFI1","oligo5","brown",0.174911895138412,0.163804826504794,0.124717428083874,0.124554690895488,0.149936428633845,0.174351528578815,0.132348733485252,0.132869054307338,0.131134089242427,0.123891939330389,0.0288299846701352
