"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7"
"AL669831.5","AL669831.5","grey","grey",0.12825114351653,0.0705897201837749,0.120504502088031,0.116222437636326,0.111840516481685,0.0915445731696138,0.0678825194711344,0.112579103768146
"NOC2L","NOC2L","oligo1","turquoise",0.0664192740479605,0.0816065360320782,0.0543405769161236,0.048041889117179,0.0550151605188046,0.0500174839149066,0.0627679320599129,0.0683609685604039
"AGRN","AGRN","grey","grey",0.12736347832194,0.0859453542488801,0.115247300170552,0.117986004192137,0.115296168602475,0.100693194735402,0.0444197881926193,0.0892288475344371
"C1orf159","C1orf159","oligo2","blue",0.096661863341386,0.0382671984545364,0.105751779819327,0.0989925226067121,0.091361077286025,0.0835099080190234,0.0279437349030263,0.0799360329006519
"SDF4","SDF4","oligo1","turquoise",0.0904192315023398,0.112092063614406,0.0750065548499555,0.0678744907718065,0.0686299961425489,0.0673134738611579,0.0950649558490347,0.0792861325687509
"UBE2J2","UBE2J2","grey","grey",0.0990798244472648,0.0750308064330708,0.0856687438142414,0.0820282165410337,0.0822971935662649,0.0682846819717788,0.0494841522347677,0.0620132141840316
"ACAP3","ACAP3","grey","grey",0.129668712077508,0.078070115657526,0.1026730588998,0.116866058819318,0.136296072952028,0.0918426171417546,0.0192328762419982,0.0948322597145307
"INTS11","INTS11","grey","grey",0.103163249983808,0.0791813864480685,0.095274796514771,0.093179857655461,0.0821204850010591,0.0663902541867924,0.0547322718477483,0.0750903883188461
"DVL1","DVL1","grey","grey",0.0508502034397537,0.0708652923254289,0.0455905340838682,0.040530681530788,0.0450758535207531,0.0396829602548946,0.0474604315611307,0.0431050477494542
"AURKAIP1","AURKAIP1","oligo1","turquoise",0.0394397250853323,0.0861194275304346,0.0202719448506706,0.01522444231003,0.0176986108867708,0.0182911563010753,0.0643215135336336,0.027561198878786
"CCNL2","CCNL2","oligo2","blue",0.169839972364616,0.116957888819955,0.179300828891637,0.167894740071885,0.140409911390843,0.110877971495043,0.0941008214188706,0.116853826684158
"MRPL20","MRPL20","grey","grey",0.0600370283942545,0.0660808101912408,0.0409708847613291,0.0407917675870057,0.0390388649649557,0.0410926275523353,0.0448588977070971,0.0480891234907519
"ANKRD65","ANKRD65","oligo1","turquoise",0.050313143439107,0.128433215673958,0.0326788818791033,0.0150845567894996,0.0259079629158314,0.0412338881999754,0.0995796108274766,0.0460857899356465
"VWA1","VWA1","oligo1","turquoise",0.0840855933517312,0.269808235602153,0.0475590264782995,0.00330169422448284,0.038706614289667,0.0839349977922269,0.204304416505271,0.0843312348579973
"ATAD3C","ATAD3C","grey","grey",0.077296701945053,0.0223112145680631,0.0563713418912975,0.0739298430989309,0.0809072411336847,0.065483921236689,0.00356578135355547,0.0605987534865241
"ATAD3B","ATAD3B","grey","grey",0.0788305115042258,0.0464376721289239,0.0629202261732102,0.0748694854438867,0.0783864009030158,0.0449039151544459,0.0354407855926378,0.0602108319755642
"SSU72","SSU72","grey","grey",0.095363373030728,0.0925647955055257,0.0841139611925643,0.0780391297376234,0.0743247094602188,0.0585078312858078,0.0574547315650995,0.0573674965249404
"MIB2","MIB2","grey","grey",0.0584102357755554,0.0450937498396749,0.0605666686831206,0.0496299235806648,0.0549967703925159,0.0541607435175426,0.022603162347231,0.0444840551521372
"CDK11B","CDK11B","grey","grey",0.11172648054843,0.0673552937745808,0.0876523043798398,0.0930335488219893,0.095943720418969,0.0674720550693696,0.045005837321651,0.0776264149968604
"SLC35E2B","SLC35E2B","grey","grey",0.139911349340767,0.118139703227526,0.104088888820675,0.111884026143411,0.118880760635994,0.102233091622708,0.0952212704915906,0.098853584538217
"CDK11A","CDK11A","grey","grey",0.0908702055672042,0.0769918442740369,0.0714008461089198,0.0685612004284559,0.0660126481778155,0.0484506400732923,0.0700039008945148,0.0681039859018407
"SLC35E2A","SLC35E2A","grey","grey",0.112241669018286,0.0608256574820075,0.098884278892923,0.0999614709040712,0.0920041052777778,0.086276501094081,0.0593824564530344,0.0799442340757
"NADK","NADK","grey","grey",0.118603189516599,0.0699080880544734,0.105943702417131,0.119094594676887,0.0964589996091104,0.0669134366024407,0.0544708365990049,0.0898876963881134
"GNB1","GNB1","oligo3","brown",0.287829580928197,0.152417413815839,0.262011507450432,0.310797629172909,0.281447214507061,0.169747892329786,0.0992152990567151,0.198383924085266
"PRKCZ","PRKCZ","oligo3","brown",0.210562817831769,0.117887504946895,0.190362538215358,0.23624227166986,0.227663250445613,0.116738641567539,0.0593649394017249,0.172675463763714
"SKI","SKI","grey","grey",0.156396160413134,0.113896168604706,0.143656191137524,0.119503417069265,0.133357113327569,0.139328488659474,0.0669251452303875,0.110771350659658
"RER1","RER1","oligo1","turquoise",0.105863784384948,0.138088298354151,0.083690415349576,0.0721810461030026,0.0779701263927497,0.0744031522719087,0.112444879664164,0.0891868656323239
"PLCH2","PLCH2","oligo3","brown",0.14832999949015,0.0937700322458055,0.140654350269651,0.198942931406548,0.17049173787179,0.0479720258500567,0.0527534714797952,0.121881153092084
"WRAP73","WRAP73","grey","grey",0.0497185307964672,0.0591157362906547,0.0455297698302666,0.0301567522079737,0.0337231433727489,0.0459954463741807,0.0342449693329057,0.0314354538594957
"LRRC47","LRRC47","grey","grey",0.062404739059141,0.0742146972770904,0.0600207501625788,0.0414751854273472,0.041093218746931,0.0511923950675223,0.0526750132478646,0.0453090196442559
"CEP104","CEP104","oligo3","brown",0.163309990771688,0.0967364383106903,0.158129679522677,0.15705234224222,0.144129129198779,0.123952142083404,0.0707259946278596,0.1093003687943
"DFFB","DFFB","grey","grey",0.119199279826253,0.0827807209024682,0.105588778739231,0.104148082334059,0.105689892932549,0.0874002529330763,0.0743214253571928,0.0895502665440617
"AJAP1","AJAP1","grey","grey",0.123599555612316,0.0670042623127807,0.101946192606065,0.0980657568847548,0.0959505325637863,0.110218057668367,0.0463519456245848,0.0833787871780852
"NPHP4","NPHP4","grey","grey",0.0746140341386702,0.0340650339781378,0.0749136394277307,0.0692098213537943,0.0571056082645722,0.063962409270067,0.0256443627715995,0.0507086390211007
"KCNAB2","KCNAB2","grey","grey",0.0501974688093149,0.0320318578717327,0.0487619917115264,0.0349760731312591,0.0275475441847458,0.0474814717922207,0.02577816927214,0.0150095755876856
"RPL22","RPL22","oligo1","turquoise",0.0702236296337612,0.0864855263267626,0.0522164671110329,0.0479346365758087,0.0485562904683462,0.0600002821092486,0.0573024081432058,0.0534678074895629
"ACOT7","ACOT7","grey","grey",0.109548633982908,0.0709123549352608,0.0986651091407951,0.107885865738881,0.108484550428619,0.0669350780731751,0.0362605536325387,0.0826197264435788
"NOL9","NOL9","grey","grey",0.12369984892994,0.0684821705187439,0.120558059592878,0.106569622433134,0.0987053691173131,0.0966242395844867,0.0516345939774262,0.0874435024357898
"KLHL21","KLHL21","oligo1","turquoise",0.111744316807127,0.139973421083873,0.0948889977675334,0.0902896517261951,0.0714639032028218,0.0704390958558557,0.085562383209249,0.0861600334277276
"THAP3","THAP3","grey","grey",0.077550102169298,0.0706657082972941,0.0558924931105393,0.0563001238581371,0.0515053616549374,0.0508455439202691,0.0644050983691041,0.0469761198776316
"DNAJC11","DNAJC11","grey","grey",0.107378411598763,0.0466882676581259,0.100493754811828,0.0920156344661253,0.0917342507592474,0.0884997299812009,0.0402082236125633,0.0740578768390198
"CAMTA1","CAMTA1","grey","grey",0.283792046952635,0.152679461491378,0.267395908067993,0.260434661766332,0.258577105583251,0.227124212891818,0.109059059896971,0.19824604920451
"VAMP3","VAMP3","grey","grey",0.099532288684868,0.116629281712497,0.0804611762799978,0.0775592460367801,0.0800427536269994,0.0655138445793347,0.0909968746673125,0.0912032135079028
"PER3","PER3","oligo3","brown",0.208250151937827,0.0935687003707326,0.192229921109801,0.231415074016792,0.207569623044407,0.127190395153311,0.0606029766062987,0.156110514763117
"PARK7","PARK7","grey","grey",0.0785200547996638,0.0929123233573108,0.0649447866486212,0.0594818556424479,0.0586814516417166,0.0432828137005716,0.0693302958462271,0.0640728623612462
"ERRFI1","ERRFI1","grey","grey",0.100357303200451,0.0610401622167399,0.0782574412351576,0.0994323629176483,0.106108524942198,0.0677027121811605,0.0549486911880133,0.092651615770869
"RERE","RERE","grey","grey",0.418763481050999,0.199737145738386,0.393006666239611,0.385858033691117,0.379829620090183,0.366829847888968,0.153346226235412,0.289436783501113
"ENO1","ENO1","oligo1","turquoise",0.0861662679923237,0.157557059381492,0.0483839352814926,0.0460458396031443,0.0729030700708363,0.0515618529621876,0.101700377946198,0.0718208631216122
"H6PD","H6PD","grey","grey",0.116566440713443,0.0714556903700557,0.111845865766479,0.106758004958634,0.0938734815803882,0.0839132145480516,0.0556151544483273,0.0874383019166286
"SPSB1","SPSB1","oligo4","green",0.156650888545939,0.0953529561865293,0.108219561512625,0.13199747152125,0.19097957142244,0.128046103913412,0.0772108679329335,0.137357766734701
"SLC25A33","SLC25A33","grey","grey",0.0823277504035012,0.0393626517517337,0.0743891996813805,0.0856735453938055,0.0817024150177175,0.0397216965878899,0.00576864850821434,0.0538911463481601
"CLSTN1","CLSTN1","oligo1","turquoise",0.161703914832054,0.164562362774519,0.146162536575041,0.131125333250875,0.130201296249443,0.127082460173687,0.109963926877858,0.121222609567438
"CTNNBIP1","CTNNBIP1","grey","grey",0.116321358972116,0.0473634275475405,0.114477233431889,0.112825781285435,0.100735166008467,0.0789751895775627,0.0477979231887203,0.0638414899859024
"LZIC","LZIC","grey","grey",0.0884772877309466,0.0879084496960132,0.0781206996713476,0.0703584376730339,0.0697046713919078,0.0702304050341808,0.0559007150237107,0.0700296739156356
"NMNAT1","NMNAT1","grey","grey",0.0964332709631419,0.0479987726452874,0.0810069158113784,0.0914007408906914,0.0812407838200615,0.075240756797552,0.0514543037814325,0.0740452025153956
"RBP7","RBP7","grey","grey",0.0705583744539435,0.0649982251364243,0.0555561060689426,0.0590111559855323,0.0704668640586669,0.0532011817179473,0.06209094433404,0.0602711215008664
"UBE4B","UBE4B","oligo4","green",0.332052083312316,0.14962679204811,0.289244864737441,0.31010108911242,0.338474584811798,0.257446409622729,0.111403172760515,0.223338146592885
"KIF1B","KIF1B","grey","grey",0.439805577994699,0.278731839050765,0.403750876394681,0.396034081336404,0.388019607725142,0.352633368378702,0.202060304019379,0.31442289823828
"PGD","PGD","grey","grey",0.0600434204612706,0.0546153696371201,0.0493076165614124,0.0466303489945302,0.0433576312384751,0.0372865816333093,0.0462502657114858,0.0434664462343936
"DFFA","DFFA","oligo2","blue",0.0939751049715362,0.070780072814174,0.0950076047843251,0.0729814087270251,0.0699972551368967,0.0824242731422569,0.0332177338185986,0.0639912472161341
"PEX14","PEX14","grey","grey",0.125743414108497,0.0663922035938803,0.117414318831316,0.108697060814547,0.107720821150172,0.0926265939654415,0.0600952680103895,0.0901777389127927
"SRM","SRM","grey","grey",0.0582910395922502,0.0686743030897206,0.0412608339690638,0.0424840773845797,0.0480835491249645,0.0360197324538315,0.0470638192162535,0.0509297162128434
"EXOSC10","EXOSC10","grey","grey",0.105529570706619,0.0843109906072841,0.0883582340038847,0.0780268008735413,0.086556590858881,0.0761478395695245,0.0623651880531789,0.0819013829626056
"MTOR","MTOR","oligo2","blue",0.160749424174587,0.0779935448481474,0.165690882166756,0.147636307587938,0.137296132609686,0.140517317847772,0.0594037976064499,0.112574451989721
"UBIAD1","UBIAD1","grey","grey",0.0830992289853501,0.0748038676094777,0.0779099193045892,0.065336576505967,0.0611319263876316,0.0607222601211305,0.0570064356908994,0.064671126471629
"FBXO2","FBXO2","grey","grey",0.125521717443954,0.1127009567748,0.0808365618008871,0.112027515228425,0.0976627225828277,0.0533383842040423,0.115046257482595,0.110510578054215
"FBXO44","FBXO44","grey","grey",0.0710979507868437,0.0572039541732788,0.0559717128610001,0.0626901147146639,0.0584161807681947,0.0396306335886838,0.0609896472245286,0.0601694835384793
"AGTRAP","AGTRAP","grey","grey",0.0587259305069054,0.08681106783462,0.0662850077101256,0.0537944325150605,0.0401469825566629,0.0383933831681211,0.066682587674737,0.0405277909937951
"MTHFR","MTHFR","grey","grey",0.0892148735953703,0.0503321149237034,0.0739866184932476,0.082388441101658,0.0840439347369742,0.0595213423686028,0.0252530821959685,0.0638499470356921
"CLCN6","CLCN6","grey","grey",0.10627154826094,0.0577880610978447,0.0871927135342543,0.0888966978556793,0.0883149530104016,0.0687523723868168,0.0438488910838678,0.0724451601736012
"KIAA2013","KIAA2013","oligo1","turquoise",0.0533656413296429,0.108726060965349,0.0473395290470523,0.035268032534014,0.0295136547253943,0.032463349476842,0.0681550603312381,0.0334279740990526
"PLOD1","PLOD1","grey","grey",0.0692256600614724,0.0721281874404006,0.0631844290488918,0.0550117107575001,0.0613007231990279,0.0666038627568809,0.0453293067103124,0.0470934919015101
"MFN2","MFN2","grey","grey",0.0935522940877004,0.069190106741333,0.0898763389257354,0.0787216663557351,0.0735103380423752,0.0738855620129874,0.0430874523647761,0.069788355414211
"VPS13D","VPS13D","oligo2","blue",0.22805284420224,0.128136724252311,0.229949857699429,0.20970168939064,0.210448237230795,0.182274363689607,0.0962713428096551,0.159654613459053
"PRDM2","PRDM2","oligo2","blue",0.20144191977401,0.132964333216984,0.20777908130413,0.19797421248172,0.18329363868986,0.144427086649497,0.107247517513484,0.142101954448236
"KAZN","KAZN","oligo5","yellow",0.178878735222839,0.12837773546468,0.131474306619838,0.0881072910566145,0.136928454809637,0.230225090522673,0.118803994262683,0.142146274772657
"CASP9","CASP9","grey","grey",0.0656136266570218,0.0490495297987991,0.0620261429297936,0.0588948517278123,0.0603592611936954,0.0494613447145132,0.0319609362017997,0.0557700594420097
"DNAJC16","DNAJC16","grey","grey",0.12513410860978,0.0862954219801247,0.123186206829081,0.107499216935268,0.106444289569201,0.100795930943485,0.0675921992164285,0.0914727100972806
"DDI2","DDI2","oligo3","brown",0.158601049198458,0.0757832953379089,0.164499328568839,0.183144278032155,0.162400137176871,0.089664193441691,0.0481138883183164,0.109961951273769
"PLEKHM2","PLEKHM2","grey","grey",0.12291446673885,0.0789646063847314,0.114474891768337,0.130132533082427,0.11556846088808,0.0701069884695672,0.0467739530184068,0.0863461717024029
"AL450998.2","AL450998.2","oligo1","turquoise",0.0834572492578449,0.108746521420055,0.0772043163983635,0.0584890907274022,0.0546270167112326,0.0660396861257103,0.0957411121248427,0.0679290614925142
"SPEN","SPEN","grey","grey",0.202549828005207,0.14783101530482,0.170113950022495,0.14525850410715,0.174774058410223,0.180036891173969,0.090584006499884,0.144015742576359
"ZBTB17","ZBTB17","grey","grey",0.0868457293907908,0.0749714007729272,0.0741174618590003,0.0659531144844521,0.0752000074234988,0.0703526388973255,0.0409154770296829,0.0660094175200831
"FBXO42","FBXO42","grey","grey",0.156617786847752,0.0748524845761405,0.136454186396806,0.13190208714569,0.133991195261262,0.134276293158606,0.0700740660202384,0.111086662351203
"SZRD1","SZRD1","oligo1","turquoise",0.0753483685790016,0.0844099251664458,0.0700637090425991,0.0555359134984778,0.0540172600239982,0.0624264855799941,0.0544407708725693,0.0494496271015252
"NECAP2","NECAP2","grey","grey",0.0621826965263073,0.0627279433194107,0.0548071163500637,0.0566668901519214,0.0487634794543145,0.0342487413645214,0.0505412940716901,0.0498389977082415
"NBPF1","NBPF1","oligo3","brown",0.247115225859064,0.135340871271035,0.23276823089659,0.293572116505657,0.235706274165753,0.111863803021776,0.106687657661471,0.18181432048139
"CROCC","CROCC","grey","grey",0.125389974234347,0.079560877808472,0.113610536902731,0.11205084633445,0.109169434368704,0.0897975650110214,0.06376871622728,0.078356060098778
"ATP13A2","ATP13A2","grey","grey",0.105731272836444,0.0787520506156691,0.0771073380523601,0.0876108299773555,0.0920396817989382,0.0674101846090945,0.0497803942534139,0.0624389965153163
"SDHB","SDHB","grey","grey",0.0953176767901584,0.0545486307878232,0.080396925288302,0.0833175563247772,0.0837070835087947,0.0741537850168754,0.04203790145601,0.0701797157050152
"PADI2","PADI2","oligo3","brown",0.214418728921761,0.107989948847934,0.222151885147096,0.258932481474651,0.221823982558684,0.11459214116625,0.0593514736589786,0.148723203228798
"RCC2","RCC2","grey","grey",0.0943847774024,0.0713838898599554,0.0713512826806979,0.0767134222056077,0.0879508816510463,0.0522025839852052,0.0409938662032675,0.0676292140428445
"ARHGEF10L","ARHGEF10L","grey","grey",0.0588601404917861,0.0240142954406439,0.0638515139486507,0.049730763319934,0.0481478983107191,0.0518062052456955,0.0109185573084251,0.0227269973015527
