"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10","kME_oligo11","kME_oligo12","kME_oligo13","kME_oligo14","kME_oligo15","kME_oligo16","kME_oligo17","kME_oligo18","kME_oligo19","kME_oligo20","kME_oligo21"
"AL669831.5","AL669831.5","oligo1","turquoise",0.106752333905767,0.068567588374406,0.0504966370917051,0.062064551350104,0.0889758510590089,0.00538459643660216,0.052638931718803,0.102536800878618,0.0825812971083881,0.0085398657829155,0.0546061838595129,0.0430697045678871,0.0711085842250656,0.0868949184653898,0.0321047855097779,0.0954102367578384,0.0793421782405203,0.0265039514227776,0.0716224718702573,0.0878924460587984,0.0445045149845978,0.0931130724860076
"NOC2L","NOC2L","grey","grey",0.0762860993502268,0.100766707452392,0.0467930383675305,0.00823074868779222,0.0672899272965541,0.0697091841501224,0.134700175458186,0.0641769357638953,0.0436222380819095,0.0886510523783008,0.0879969791719705,0.0647344617525779,0.0701284664138019,0.0349928854148286,0.111193619558253,0.0484547678022835,0.022654888180463,0.0456864252834712,0.0361316855130941,0.032087603933226,-0.00826821246044289,0.065453459146483
"AGRN","AGRN","grey","grey",0.0356392394331387,0.0756111359653356,0.085324933465645,0.0818619301687281,0.0163854076297679,0.0673502912792034,0.0242149197868615,0.0792863814529101,0.084731139944308,0.0476312145443617,0.0145415672698538,0.098692686044519,0.082535637642326,0.032329283894708,0.0515960479974181,0.0800829027609268,0.0481760837147704,0.0392866675967445,0.039943193781682,0.0546393646213104,0.000668407474169464,0.0242511330804596
"C1orf159","C1orf159","grey","grey",0.0350276293467524,0.068580897552755,-0.00888442580592782,0.0384268923683906,0.0467111582904141,0.0163366274923601,0.0134128918513759,0.0652862024434452,0.0386548888687611,0.0133452937524648,0.00518873808912912,0.0591198482494284,0.0463620184347844,0.0629549281077907,0.0119373273395272,0.0766360419369935,0.036937286037137,0.0442397715192007,0.0122861754411433,0.0115198541296399,0.0617663786304714,-0.000309197748503369
"SDF4","SDF4","oligo2","cyan",0.142175653136269,0.135492823316127,0.238868341399219,0.131705754050763,0.117216807975491,0.160375042777652,0.112958343983479,0.0917069836527727,0.101513833643296,0.0950250912382264,0.107506816319457,0.0720441793374806,0.123089002663817,0.0763395431243473,0.197940093142735,0.0825594395887994,0.0721725060666639,0.0748047546635532,0.107112212833547,0.0343889980415564,0.0641607150747157,0.093765946208494
"UBE2J2","UBE2J2","oligo3","pink",0.0740620807588382,0.0760284103694559,0.106550024658828,0.093618834024296,0.0930205056653313,0.107467255010104,0.0284304913688681,0.0736990542558466,0.0857688051628826,0.0552251312582968,0.0382801917565979,0.0620781931745637,0.0979056779412605,0.0631756910935505,0.101437685704524,0.0780316793958498,0.0326908807461352,0.0361248282874956,0.0652492728536376,0.0521136470792081,0.0340388669480321,0.0376056289309015
"ACAP3","ACAP3","oligo4","purple",0.117017646378736,0.0932161423797769,0.0891525280956705,0.0693268057470173,0.150787162627978,0.0466008653430911,0.0670738242511116,0.106981600689549,0.0551804916559818,0.0479868185681203,0.0251011777286629,0.0496546787081641,0.0623221543629039,0.0800563631129116,0.077049579411674,0.0958970311510102,0.0451881894275086,0.0598163233992599,0.0930309786793691,0.107417439149083,0.0689087529386799,0.0435380940988273
"INTS11","INTS11","grey","grey",0.0641514155708365,0.0759187467788119,0.0795765660650272,0.0118637030333152,0.0342367693593273,0.0523270449791821,0.0668581197568185,0.0748296084621121,0.0134683512538567,0.0304499087037349,0.0470796450925397,0.0816345150995546,0.0991847871317307,0.0299506465688939,0.0732430409465388,0.0997478046991171,0.0443472722603807,0.00546445057098505,0.023552737258029,-0.00454613461341659,0.0514748835216361,-0.00278358811255313
"DVL1","DVL1","grey","grey",0.0123385857519733,0.0395238494801467,0.0557613684220049,0.0422576613143668,0.0438888299709606,0.108865458263063,0.0153717878802003,0.0192434722516429,0.00248850571635795,0.0271714413382166,-0.0111945590493057,0.0230652941957523,0.048385604001989,0.011434062871353,0.090747717955194,0.0232411051790135,-0.00762080996433513,0.110472818524309,0.0106577005523515,-0.0308511122668999,0.0263637872397063,-0.000272524751764579
"CCNL2","CCNL2","grey","grey",0.14049209318449,0.160834832780863,0.108596735005154,0.130921167527575,0.116867473180124,0.133448160173386,0.105431778243654,0.147044589090035,0.0813539953767135,0.122521752872317,0.0901896733798753,0.107065655312317,0.112502633881081,0.0919442460406334,0.159704904037006,0.114088287630894,0.106234901004046,0.0894101480317171,0.10270218236983,0.105867079093062,0.0503903855866264,0.109909520673156
"MRPL20","MRPL20","grey","grey",0.0587696222482439,0.0789233039013398,0.0219809093949587,0.0912726778691513,0.0273215928539978,0.0734907281961982,0.0219355347880837,0.083385222043563,0.0973548089694133,0.0356288102325492,0.0653891995126613,0.0999922268647092,0.0860187230272924,0.110575538601271,0.067309675533619,0.0883709729045865,0.0201211464330781,0.00695580613221653,0.0471838078046409,0.0232813754893093,0.0569156800961178,0.0946514133374069
"ANKRD65","ANKRD65","grey","grey",0.00447484649309901,0.00675600873044962,-0.00352579414525737,0.0446173368409204,0.0229957250649096,0.0852884049841888,-0.0144236263669141,0.0141568894372847,0.0190141584611714,0.0357816351265412,0.00833093684218814,0.0219792987251856,0.0161418735942976,-0.0231076723829088,0.0650523001165527,0.00678363340503191,-0.00154850050317286,0.0460771078078731,-0.0216212134366512,0.0411363546695772,-0.00688698867475609,-0.0132482458576628
"VWA1","VWA1","oligo5","magenta",0.0510684876415183,0.157853118914084,0.112826992025093,0.102019628329217,0.0834632505679689,0.351712742361289,0.0923867116200652,0.0919798731968429,0.0745818908817416,0.115558604608199,0.0695442464154588,0.191933360472732,0.181719060689566,0.0770330791850464,0.263074762609866,0.111612573222469,0.0501587332614512,0.0848812117322712,0.0241700842765001,0.0104698586154621,0.0815309414922663,0.0798915045266063
"ATAD3C","ATAD3C","grey","grey",0.134451318488532,0.14430042158099,0.0770807957127195,0.12095951630593,0.0828061628197386,0.0784380808036497,0.123806763097,0.103453118066926,0.0697506085774845,0.142993930790654,0.103267566702383,0.0825478072353742,0.113884742272946,0.0826490068838541,0.105636780987403,0.0672562446818772,0.114099433727475,0.0660116415693863,0.129920281778028,0.105158718084274,0.064446277608012,0.0903717651000803
"ATAD3B","ATAD3B","grey","grey",0.0493926931944538,0.0565850067283251,0.0393394962445508,0.0776505951767412,0.0527054463363705,0.044745562947535,0.0483527176429765,0.0584086584277107,0.0419789878750779,0.0283751924001209,0.009783297970562,0.0580648396958765,0.0649670935460033,0.0302442477821253,0.0400328833535952,0.0583267409101438,0.0298111278236181,0.0329650740497553,0.0225163226958003,0.011975253432467,0.0696201128752728,0.0612574334266239
"SSU72","SSU72","oligo6","blue",0.0488147200813722,0.0547894012263348,0.00720325945820992,0.015768879935115,0.0232468863868498,0.032825126121182,0.0636275866538335,0.0410015930463352,0.00383702158650945,0.0519632414707631,0.0593424768183199,0.0138070364873009,0.0622444174008465,0.0421377477882808,0.062141511962596,0.0310190226443392,0.0358135047920238,0.0357312396181618,0.0555585563396533,0.0371663374772707,0.0118943975153245,0.0328275748716509
"MIB2","MIB2","grey","grey",0.0408626539145877,0.0577157925863972,0.069197448607921,0.0300025961550498,0.0613946797970922,0.0479248354398333,0.0542858284193979,0.0245130555035894,0.000564584893019855,0.044582347510004,0.00553279225974524,0.0186143241062473,0.02498766505937,0.00966853393937514,0.0454405213131309,0.0583093192017133,0.00839868586811266,0.0261160007495437,0.023201431575199,0.00895465968220947,0.00227523952866031,-0.017903177901726
"CDK11B","CDK11B","grey","grey",0.0407450452187592,0.0471649107482099,0.0443510307654765,0.0412199447599962,0.00983455630308496,0.00549786706686103,0.0522061917647307,0.0292020239184195,0.054440758295983,0.0354093798765559,0.0533882261333329,0.0131071415886094,0.0365823601543432,0.0466087731098663,0.027508607780513,0.00751098743750888,-0.00318271685644032,0.0247782131760226,-0.00615986672612954,0.0588891855036978,0.0893106721335801,0.0442784488353859
"SLC35E2B","SLC35E2B","grey","grey",0.0670374225527429,0.0834886035299037,0.0631006510065269,0.0753145879670059,0.0538787539286391,0.0516050532673766,0.0270513234464712,0.0797623401078439,0.0330996910010519,0.0358287612808059,0.0475693079413515,0.0576374035849022,0.0540098403999935,0.0569312849156557,0.0511099436549763,0.077046742724351,0.0998084245576101,0.0377849314424602,0.0469810287857955,0.0415479947347674,0.103479604520725,0.0781686339457265
"CDK11A","CDK11A","grey","grey",0.0557176885707768,0.0633599011998426,0.0720268445937165,0.0541320296854587,0.0542150330276547,0.0373240073685531,0.0252567920955222,0.066399429455045,0.0191519058365381,0.0639197998684715,0.0242149975308405,0.0535922069009116,0.068422775647674,-0.00517359668101813,0.0182953416347931,0.0630378764129742,0.0483234640978616,0.0225829685908014,0.0756925205169327,0.038637678380679,0.0563692871177303,0.0463737340777076
"SLC35E2A","SLC35E2A","grey","grey",0.0794411667673614,0.104836696601222,0.0519160584286697,0.0946023434187554,0.058250244804073,0.0476096906265958,0.0438392281155708,0.100274509988115,0.0687557168826313,0.101294936147501,0.0902317289240441,0.115838816154388,0.0636157846584302,0.0843545584266346,0.0620738154019312,0.105502178278568,0.113091108221268,0.0305487297327184,0.0647176350550786,0.045629420444271,0.107859341596071,0.0925262885450223
"NADK","NADK","oligo7","green",0.0417252148537109,0.00238801163171136,0.040472785305692,0.0800618840990259,0.0147188715119513,0.00235453603492326,-0.0377676713983441,0.0558767288811905,0.0226589293031776,-0.0149201259502998,-0.00172627615691526,-0.00155057165527241,0.057582375328242,-0.00182177776478797,0.0157043266666968,0.0307311439542289,0.00639684391279486,0.00801054497947928,-0.0010953674360169,-0.0555068998353226,0.015020121354248,-0.0199665435075331
"GNB1","GNB1","oligo8","midnightblue",0.250962907785627,0.229117646454124,0.201690959229963,0.167391932992942,0.139845728832075,0.181882576213405,0.230593274205256,0.223251141655841,0.276975618627528,0.175262934158812,0.100087053954203,0.150345974587593,0.201543532602024,0.182478699259035,0.205803804323726,0.190198602045963,0.142282165651294,0.115667427033057,0.198047084789459,0.154372739133189,0.106948926094323,0.141124828788287
"PRKCZ","PRKCZ","oligo9","red",0.140760798377584,0.157846659798054,0.0895670549708153,0.103188473633723,0.128841100406659,0.0361695958285665,0.15127231440045,0.14680543559722,0.0685445748579118,0.185577503274666,0.103479729791886,0.0862329062441458,0.132907038476608,0.12682114888783,0.0794208757864288,0.097801726204223,0.0789730555223352,0.0192125190817227,0.120029469257682,0.108676163734931,0.106240944388579,0.0961048613542428
"SKI","SKI","oligo10","lightcyan",0.0811674718734508,0.117021449114253,0.0748410683790664,0.0561593574473387,0.0827292717737645,0.0598682366678368,0.108495152335965,0.0937948444809002,0.0463924959670634,0.106951743888671,0.230552432090679,0.0813266726154987,0.0773680695343144,0.115514825215079,0.0831846937751026,0.0940118774739709,0.08255251525223,0.0909364475501659,0.0406879937172955,0.0939278961088576,0.0831918489523539,0.0466464883652865
"RER1","RER1","grey","grey",0.0655268866006272,0.102478068817908,0.0536045828813489,0.044330878296844,0.0889337890473214,0.1144848022464,0.0652649667691757,0.079344848051648,0.086970260653035,0.0945058399545286,0.0962885118534032,0.0777756252339136,0.0955139883755807,0.0244683031212892,0.125256033031838,0.0696317568964035,0.0320617795637315,0.0993747579379549,0.101293424608417,0.0898935152057691,0.0464298993481559,0.0972530739080631
"PLCH2","PLCH2","oligo1","turquoise",0.211154608455563,0.0908096950439383,0.186252472116141,0.124568199241438,0.112635705402692,0.0760204194973556,0.0849275521119073,0.131864828792074,0.0824972654629894,0.0861588061113969,0.0150641267894935,-0.0586722547908166,0.104241350831403,0.0610013610467705,0.121658541487141,0.0660295117265326,0.110019648674485,0.0959429010278773,0.0840615069145205,0.0426229850123869,0.02472467298123,0.0738822045945029
"LRRC47","LRRC47","grey","grey",0.0505062278524107,0.0670227213272796,0.0642016292878156,0.0594974991926483,0.0390924525112697,0.102853368775437,0.0560620341679849,0.0435120646219395,0.0353605852869175,0.0391307493879942,0.0489148114477034,0.0648401733859036,0.0732787421373183,0.057605982274861,0.0939030303619428,0.0269041047599597,0.0241921657669198,0.0115756822311825,0.0254476300838983,-0.0115415732102636,-0.000871234295721245,0.0334551396179946
"CEP104","CEP104","grey","grey",0.107384157077603,0.129472193716069,0.0875179501238469,0.120549643184424,0.091717001137646,0.168287655951211,0.0697513789579091,0.130946355160265,0.146879240619871,0.100844632543355,0.0868678750464162,0.1546261648395,0.143633198506635,0.127119071764358,0.176618014522591,0.147791077526889,0.0234947338954264,0.110613424018362,0.0591616148568474,0.0201815831971512,0.0855380772416588,0.145363474322508
"DFFB","DFFB","grey","grey",0.0206453748456673,0.0642758465103398,0.00545702894140588,0.0755951290279565,0.0608544607049547,0.0121234414186118,0.0132018056327343,0.0483002188318688,-0.00371870515011934,0.0219185151061321,-0.0199890777618774,0.0979075859574732,0.00512870474744525,0.0339987125540815,0.00277899237167216,0.0627849154916426,0.0261597000230287,0.0546358692465857,0.0636869318354921,0.0229882607860227,0.0810036726966305,0.0806598320917082
"AJAP1","AJAP1","oligo11","yellow",-0.0176639137680858,0.0418131163816663,0.0132984680120053,0.0105129648617662,-0.0341313823466834,0.0168245957120246,-0.038106039627105,0.00340375580911507,0.0128530690163695,-0.00417732016931301,0.0275210880900357,0.0704935641362464,0.0204907227856855,0.0123879391169048,0.0159657177023463,0.0368550301679787,-0.0239917113889513,-0.0288769571048349,0.0195413481611817,-0.0108118884917969,0.0358756268498409,0.0708512710328811
"NPHP4","NPHP4","oligo4","purple",0.0563071122371218,0.0316523174992287,0.0546110665654072,0.0302859841751898,0.0705901162557718,0.00130919002034585,0.0150045676642591,0.0378174911807036,0.0275792055942648,0.0286858509770522,0.0432655285099795,0.00518457970575522,0.0281412559521482,0.0378729216047351,0.0267308895706227,0.0183855757148705,0.0418509033184571,-0.00146608412947372,0.0485453342663499,0.0214837193517517,0.0273195361108142,0.0304940759670176
"ACOT7","ACOT7","oligo6","blue",0.126214877984564,0.115883553484761,0.0602767367468413,0.0508190313546105,0.112589252683329,0.0606822944009439,0.101701522301572,0.0882016880472544,0.0799276157949112,0.0687100761248105,0.0739690643936369,0.0459543517368031,0.0746820318234189,0.0616971880243144,0.109533631054645,0.0756583260793719,0.0860299707518225,0.0532676172633215,0.102676680284171,0.0407029108357534,0.0380929570411191,0.0827426585743706
"NOL9","NOL9","oligo12","salmon",0.0275009964576129,0.0437253206588093,0.0697595150825368,0.0619171609553836,0.000950131293052173,0.0281172955331246,0.0140249099972055,0.0484163253881214,0.0258128527367639,0.0121598249245857,0.00181271773930925,0.026612433463067,0.0366616864227309,0.00971843039623418,0.042598163060394,0.0519070204825665,0.0359784705775612,0.00516799848705285,-0.014168057621563,-0.0205517283381963,0.000852825115027255,0.0488226989884893
"KLHL21","KLHL21","grey","grey",0.0782607273777555,0.0797891968884756,0.0481263782844234,0.0451937080395144,0.0420188142957727,0.0710135051663865,0.0489677944582164,0.0758809578008057,0.0542291049618538,0.0365761168179494,0.0500932503862087,0.0681688726170479,0.0412963780657838,0.0339169377326961,0.100192611051462,0.0818248807301188,0.0312259535891239,0.00236944294776647,0.0717354100451222,0.029855748214689,0.0324025979800243,0.0392951710795797
"PHF13","PHF13","oligo1","turquoise",0.0632239519287304,0.065686116230552,0.00833701726219231,0.043012822935354,0.0726932356898981,0.0655957396675951,0.10728368844133,0.0462804663041636,0.0603852236174528,0.0784954200995855,0.0289147007645947,0.0504747609788917,0.0986856709482754,0.0393218246461833,0.0683683788627791,0.0414911322242823,0.0344036547636018,0.0221699859923339,0.0307072925515617,0.021170347441188,-0.0225581225015865,0.0235981164340753
